Demand,SolarGen
51.21217,0
48.75223,0
65.17768,0
50.9906,0
21.71501,0
11.43366,0
5.61385,0
4.48318,0
5.46616,0
4.92408,0
5.54057,0
9.21443,0
15.22005,0
21.19499,0.109
18.57747,0.308
18.62641,0.478
22.48645,0.619
27.24784,0.685
21.23909,0.696
30.3518,0.664
24.2429,0.582
28.07944,0.449
26.93654,0.268
32.09651,0.078
58.72453,0
59.48673,0
72.43135,0
51.08755,0
23.33073,0
13.76019,0
6.77145,0
5.32631,0
3.93223,0
5.72542,0
5.38178,0
11.49801,0
14.8319,0
19.18355,0.118
16.11138,0.326
18.61894,0.501
21.41328,0.626
29.64192,0.691
29.35194,0.707
25.87578,0.683
24.77252,0.607
26.67083,0.477
26.20021,0.297
30.66316,0.094
47.93635,0
69.9567,0
79.58562,0
61.6385,0
29.86475,0
11.76743,0
7.37178,0
4.99933,0
4.77245,0
3.80724,0
4.92798,0
8.99152,0
13.99881,0
14.53688,0.13
15.48787,0.345
15.81088,0.519
20.22914,0.646
23.70306,0.707
21.25045,0.719
21.69936,0.683
22.28558,0.601
23.28299,0.465
27.49505,0.281
28.64849,0.082
31.91533,0
46.65685,0
60.18981,0
42.13874,0
24.21184,0
9.04184,0
4.28577,0
6.06498,0
5.28006,0
4.96292,0
5.91858,0
11.82597,0
16.09033,0
22.50539,0.114
17.60378,0.322
18.74413,0.501
25.61081,0.639
27.24768,0.706
27.67332,0.722
25.47852,0.686
26.39984,0.587
22.18491,0.425
27.20817,0.234
35.13534,0.07
53.87173,0
58.55214,0
100.20537,0
59.78158,0
25.13211,0
16.61984,0
6.50734,0
4.59075,0
5.40854,0
4.94876,0
5.80271,0
9.32256,0
13.70128,0
17.29193,0.101
15.94695,0.304
18.36284,0.5
20.88699,0.649
21.57202,0.712
20.39485,0.727
26.82716,0.677
22.89416,0.591
27.92608,0.452
26.8119,0.266
29.77494,0.075
45.73416,0
66.07201,0
79.39511,0
46.53132,0
26.98099,0
12.99074,0
6.5435,0
3.91289,0
3.38812,0
3.24737,0
4.17285,0
10.30224,0
13.41073,0
17.28589,0.106
12.09046,0.305
15.81365,0.474
18.37917,0.588
20.41321,0.649
21.91424,0.657
20.95446,0.618
14.72711,0.53
24.59457,0.396
16.56506,0.226
25.43575,0.067
33.40405,0
55.15457,0
53.49979,0
38.37103,0
22.6727,0
15.00211,0
4.65289,0
5.76908,0
5.43781,0
5.01277,0
4.99089,0
11.46147,0
15.35168,0.001
22.3353,0.123
