timestep,demand_el,price_el,Eta_el_max_woDH,P_max_woDH,Eta_el_min_woDH,P_min_woDH,Beta,Q_CW_min,H_L_FG_share
117,0.8110134695,-28.85,0.6023368785,182.3223304703,0.5048258087,94.8386004448,0.0009463249,25.4623473222,0.1383652745
118,0.775399329,-29.14,0.6023582135,175,0.5048475559,94.8426859605,0.0009047688,25.4605602941,0.1383498726
119,0.7615667718,-30.74,0.6023665,182.3223304703,0.5048560025,94.8442727777,0.0008886284,25.4598662112,0.1383438906
120,0.7123203645,-27.93,0.6023960014,200,0.504886074,94.8499221342,0.0008311656,25.4573951502,0.1383225933
121,0.6759175805,-24.59,0.6024178088,217.6776695297,0.5049083028,94.8540981201,0.0007886893,25.45556855,0.1383068504
122,0.6486280106,-22.76,0.6024341568,225,0.5049249667,94.8572286735,0.0007568467,25.4541992279,0.1382950486
123,0.6299258925,-21.87,0.6024453604,217.6776695297,0.5049363869,94.8593741078,0.0007350242,25.4532608026,0.1382869606
124,0.6190726554,-21.19,0.6024518621,200,0.5049430142,94.8606191489,0.0007223602,25.4527162145,0.138282267
125,0.6203870612,-21.15,0.6024510747,182.3223304703,0.5049422116,94.8604683654,0.0007238939,25.4527821681,0.1382828354
126,0.6325797406,-22.71,0.6024437706,175,0.5049347663,94.8590696686,0.0007381209,25.4533939661,0.1382881083
127,0.6768063692,-29.98,0.6024172763,182.3223304703,0.50490776,94.8539961617,0.0007897264,25.4556131472,0.1383072348
128,0.7444294227,-36.16,0.6023767662,200,0.5048664671,94.8462387078,0.0008686318,25.459006302,0.1383364793
129,0.7754368835,-37.82,0.602358191,217.6776695297,0.5048475329,94.8426816524,0.0009048126,25.4605621785,0.1383498889
130,0.7865530019,-34.94,0.6023515318,225,0.504840745,94.8414064545,0.0009177834,25.4611199574,0.1383546962
131,0.7997095789,-32.57,0.6023436502,217.6776695297,0.5048327112,94.8398971832,0.000933135,25.4617801214,0.1383603859
132,0.8129037104,-31.93,0.6023357462,200,0.5048246544,94.8383836037,0.0009485305,25.4624421697,0.1383660919
133,0.8136047269,-28.63,0.6023353262,182.3223304703,0.5048242263,94.8383031858,0.0009493485,25.462477345,0.1383663951
134,0.8027640078,-28.08,0.6023418205,175,0.5048308461,94.8395467909,0.0009366991,25.4619333849,0.1383617069
135,0.790208302,-28.78,0.602349342,182.3223304703,0.504838513,94.8409871327,0.0009220486,25.4613033712,0.138356277
136,0.7850883781,-29.63,0.6023524092,200,0.5048416394,94.8415744705,0.0009160744,25.4610464663,0.1383540628
137,0.7935256121,-30.99,0.6023473548,217.6776695297,0.5048364873,94.8406065838,0.0009259193,25.4614698255,0.1383577116
138,0.8327574984,-34.68,0.6023238526,225,0.504812531,94.8361060543,0.0009716968,25.4634383829,0.138374678
139,0.8468279005,-38.76,0.6023154236,217.6776695297,0.5048039392,94.8344919524,0.0009881147,25.4641444003,0.1383807629
140,0.8316934555,-41.06,0.60232449,200,0.5048131808,94.8362281171,0.0009704552,25.4633849919,0.1383742178
141,0.7924991237,-37.31,0.6023479697,182.3223304703,0.5048371141,94.8407243386,0.0009247216,25.4614183188,0.1383572677
142,0.7663862601,-34.2,0.6023636128,175,0.5048530595,94.8437199048,0.000894252,25.460108041,0.1383459748
143,0.7582619799,-33.81,0.6023684797,182.3223304703,0.5048580205,94.8446518906,0.0008847722,25.459700385,0.1383424614
