class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
### znes_100,,,,,,,,,,,,,,,,,,,,
### transshipment based on nep2014 and vernetzen-base,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
Storage,CZ_storage_hydrogen,CZ_bus_el,CZ_storage_hydrogen,,168.9,,0.85,,,,0,,1688.97,0,0.632,0.632,0.5,0,1,
Storage,CZ_storage_lithium_ion,CZ_storage_lithium_ion,CZ_bus_el,,2452.53,,0.85,,,,0,,,,,,,,,
Storage,CZ_storage_lithium_ion,CZ_bus_el,CZ_storage_lithium_ion,,2452.53,,0.85,,,,0,,12262.64,0,0.975,0.975,0.5,0,1,
Storage,CZ_storage_pumped_hydro,CZ_storage_pumped_hydro,CZ_bus_el,,2452.53,,0.85,,,,0,,,,,,,,,
Storage,CZ_storage_pumped_hydro,CZ_bus_el,CZ_storage_pumped_hydro,,2452.53,,0.85,,,,0,,17167.69,0,0.894,0.894,0.5,0,1,
Storage,CZ_storage_redox_flow,CZ_storage_redox_flow,CZ_bus_el,,21.11,,0.85,,,,0,,,,,,,,,
Storage,CZ_storage_redox_flow,CZ_bus_el,CZ_storage_redox_flow,,21.11,,0.85,,,,0,,70.37,0,0.866,0.866,0.5,0,1,
Sink,CZ_load,CZ_bus_el,CZ_load,,15720.4495503829,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DE,,,,,,,,,,,,,,,,,,,,
### DEdr01,,,,,,,,,,,,,,,,,,,,
Sink,DEdr01_excess,DEdr01_bus_el,DEdr01_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr01_shortage,DEdr01_shortage,DEdr01_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr01_pp_biomass,DEdr01_pp_biomass,DEdr01_bus_el,0.38,1491.315,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr01_pp_biomass,GL_bus_biomass,DEdr01_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr01_run_of_river,DEdr01_run_of_river,DEdr01_bus_el,,8.06,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr01_solar,DEdr01_solar,DEdr01_bus_el,,13208.1,,,,seq,,,TRUE,,,,,,,,
Source,DEdr01_wind_onshore,DEdr01_wind_onshore,DEdr01_bus_el,,15959.009,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr01_storage_a_caes,DEdr01_storage_a_caes,DEdr01_bus_el,,492.16,,0.85,,,,0,,,,,,,,,
Storage,DEdr01_storage_a_caes,DEdr01_bus_el,DEdr01_storage_a_caes,,492.16,,0.85,,,,0,,858.59,0,0.837,0.837,0.5,0,1,
Storage,DEdr01_storage_hydrogen,DEdr01_storage_hydrogen,DEdr01_bus_el,,1598.33,,0.85,,,,0,,,,,,,,,
Storage,DEdr01_storage_hydrogen,DEdr01_bus_el,DEdr01_storage_hydrogen,,1598.33,,0.85,,,,0,,15983.29,0,0.632,0.632,0.5,0,1,
Storage,DEdr01_storage_lithium_ion,DEdr01_storage_lithium_ion,DEdr01_bus_el,,2476.62,,0.85,,,,0,,,,,,,,,
Storage,DEdr01_storage_lithium_ion,DEdr01_bus_el,DEdr01_storage_lithium_ion,,2476.62,,0.85,,,,0,,12383.09,0,0.975,0.975,0.5,0,1,
Storage,DEdr01_storage_redox_flow,DEdr01_storage_redox_flow,DEdr01_bus_el,,147.17,,0.85,,,,0,,,,,,,,,
Storage,DEdr01_storage_redox_flow,DEdr01_bus_el,DEdr01_storage_redox_flow,,147.17,,0.85,,,,0,,490.58,0,0.866,0.866,0.5,0,1,
Sink,DEdr01_load,DEdr01_bus_el,DEdr01_load,,3349.0966519812,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr02,,,,,,,,,,,,,,,,,,,,
Sink,DEdr02_excess,DEdr02_bus_el,DEdr02_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr02_shortage,DEdr02_shortage,DEdr02_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr02_pp_biomass,DEdr02_pp_biomass,DEdr02_bus_el,0.38,45.864,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr02_pp_biomass,GL_bus_biomass,DEdr02_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr02_run_of_river,DEdr02_run_of_river,DEdr02_bus_el,,0.164,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr02_solar,DEdr02_solar,DEdr02_bus_el,,84.36,,,,seq,,,TRUE,,,,,,,,
Source,DEdr02_wind_onshore,DEdr02_wind_onshore,DEdr02_bus_el,,211.2,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr02_storage_a_caes,DEdr02_storage_a_caes,DEdr02_bus_el,,2.95,,0.85,,,,0,,,,,,,,,
Storage,DEdr02_storage_a_caes,DEdr02_bus_el,DEdr02_storage_a_caes,,2.95,,0.85,,,,0,,5.14,0,0.837,0.837,0.5,0,1,
Storage,DEdr02_storage_hydrogen,DEdr02_storage_hydrogen,DEdr02_bus_el,,9.57,,0.85,,,,0,,,,,,,,,
Storage,DEdr02_storage_hydrogen,DEdr02_bus_el,DEdr02_storage_hydrogen,,9.57,,0.85,,,,0,,95.68,0,0.632,0.632,0.5,0,1,
Storage,DEdr02_storage_lithium_ion,DEdr02_storage_lithium_ion,DEdr02_bus_el,,14.83,,0.85,,,,0,,,,,,,,,
Storage,DEdr02_storage_lithium_ion,DEdr02_bus_el,DEdr02_storage_lithium_ion,,14.83,,0.85,,,,0,,74.13,0,0.975,0.975,0.5,0,1,
Storage,DEdr02_storage_redox_flow,DEdr02_storage_redox_flow,DEdr02_bus_el,,0.88,,0.85,,,,0,,,,,,,,,
Storage,DEdr02_storage_redox_flow,DEdr02_bus_el,DEdr02_storage_redox_flow,,0.88,,0.85,,,,0,,2.94,0,0.866,0.866,0.5,0,1,
Sink,DEdr02_load,DEdr02_bus_el,DEdr02_load,,1470.3351155039,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr03,,,,,,,,,,,,,,,,,,,,
Sink,DEdr03_excess,DEdr03_bus_el,DEdr03_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr03_shortage,DEdr03_shortage,DEdr03_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr03_pp_biomass,DEdr03_pp_biomass,DEdr03_bus_el,0.38,510.262,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr03_pp_biomass,GL_bus_biomass,DEdr03_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr03_run_of_river,DEdr03_run_of_river,DEdr03_bus_el,,86.028,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr03_solar,DEdr03_solar,DEdr03_bus_el,,7405.148,,,,seq,,,TRUE,,,,,,,,
Source,DEdr03_wind_onshore,DEdr03_wind_onshore,DEdr03_bus_el,,10107.501,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr03_storage_a_caes,DEdr03_storage_a_caes,DEdr03_bus_el,,223.88,,0.85,,,,0,,,,,,,,,
Storage,DEdr03_storage_a_caes,DEdr03_bus_el,DEdr03_storage_a_caes,,223.88,,0.85,,,,0,,390.56,0,0.837,0.837,0.5,0,1,
Storage,DEdr03_storage_hydrogen,DEdr03_storage_hydrogen,DEdr03_bus_el,,727.06,,0.85,,,,0,,,,,,,,,
Storage,DEdr03_storage_hydrogen,DEdr03_bus_el,DEdr03_storage_hydrogen,,727.06,,0.85,,,,0,,7270.56,0,0.632,0.632,0.5,0,1,
Storage,DEdr03_storage_lithium_ion,DEdr03_storage_lithium_ion,DEdr03_bus_el,,1126.58,,0.85,,,,0,,,,,,,,,
Storage,DEdr03_storage_lithium_ion,DEdr03_bus_el,DEdr03_storage_lithium_ion,,1126.58,,0.85,,,,0,,5632.89,0,0.975,0.975,0.5,0,1,
Storage,DEdr03_storage_pumped_hydro,DEdr03_storage_pumped_hydro,DEdr03_bus_el,,1589.1,,0.85,,,,0,,,,,,,,,
Storage,DEdr03_storage_pumped_hydro,DEdr03_bus_el,DEdr03_storage_pumped_hydro,,1589.1,,0.85,,,,0,,11123.7,0,0.894,0.894,0.5,0,1,
Storage,DEdr03_storage_redox_flow,DEdr03_storage_redox_flow,DEdr03_bus_el,,66.95,,0.85,,,,0,,,,,,,,,
Storage,DEdr03_storage_redox_flow,DEdr03_bus_el,DEdr03_storage_redox_flow,,66.95,,0.85,,,,0,,223.16,0,0.866,0.866,0.5,0,1,
Sink,DEdr03_load,DEdr03_bus_el,DEdr03_load,,4084.2642097332,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DEdr04,,,,,,,,,,,,,,,,,,,,
Sink,DEdr04_excess,DEdr04_bus_el,DEdr04_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr04_shortage,DEdr04_shortage,DEdr04_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr04_pp_biomass,DEdr04_pp_biomass,DEdr04_bus_el,0.38,588.095,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr04_pp_biomass,GL_bus_biomass,DEdr04_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr04_run_of_river,DEdr04_run_of_river,DEdr04_bus_el,,202.23,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr04_solar,DEdr04_solar,DEdr04_bus_el,,9235.658,,,,seq,,,TRUE,,,,,,,,
