class,label,source,target,conversion_factors,nominal_value,min,max,summed_max,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
### znes_100,,,,,,,,,,,,,,,,,,,,
### transshipment based on nep2014 and vernetzen-base,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,
LinearTransformer,DEdr17_pp_biomass,GL_bus_biomass,DEdr17_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr17_run_of_river,DEdr17_run_of_river,DEdr17_bus_el,,302.886,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr17_solar,DEdr17_solar,DEdr17_bus_el,,14951.726,,,,seq,,,TRUE,,,,,,,,
Source,DEdr17_wind_onshore,DEdr17_wind_onshore,DEdr17_bus_el,,7535.354,,,,seq,,,TRUE,,,,,,,,
Storage,DEdr17_storage_a_caes,DEdr17_storage_a_caes,DEdr17_bus_el,,239.48,,0.85,,,,0,,,,,,,,,
Storage,DEdr17_storage_a_caes,DEdr17_bus_el,DEdr17_storage_a_caes,,239.48,,0.85,,,,0,,417.79,0,0.837,0.837,0.5,0,1,
Storage,DEdr17_storage_hydrogen,DEdr17_storage_hydrogen,DEdr17_bus_el,,777.73,,0.85,,,,0,,,,,,,,,
Storage,DEdr17_storage_hydrogen,DEdr17_bus_el,DEdr17_storage_hydrogen,,777.73,,0.85,,,,0,,7777.34,0,0.632,0.632,0.5,0,1,
Storage,DEdr17_storage_lithium_ion,DEdr17_storage_lithium_ion,DEdr17_bus_el,,1205.1,,0.85,,,,0,,,,,,,,,
Storage,DEdr17_storage_lithium_ion,DEdr17_bus_el,DEdr17_storage_lithium_ion,,1205.1,,0.85,,,,0,,6025.52,0,0.975,0.975,0.5,0,1,
Storage,DEdr17_storage_pumped_hydro,DEdr17_storage_pumped_hydro,DEdr17_bus_el,,451,,0.85,,,,0,,,,,,,,,
Storage,DEdr17_storage_pumped_hydro,DEdr17_bus_el,DEdr17_storage_pumped_hydro,,451,,0.85,,,,0,,3157,0,0.894,0.894,0.5,0,1,
Storage,DEdr17_storage_redox_flow,DEdr17_storage_redox_flow,DEdr17_bus_el,,71.61,,0.85,,,,0,,,,,,,,,
Storage,DEdr17_storage_redox_flow,DEdr17_bus_el,DEdr17_storage_redox_flow,,71.61,,0.85,,,,0,,238.71,0,0.866,0.866,0.5,0,1,
Sink,DEdr17_load,DEdr17_bus_el,DEdr17_load,,5472.9140410424,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### Dedr18,,,,,,,,,,,,,,,,,,,,
Sink,DEdr18_excess,DEdr18_bus_el,DEdr18_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEdr18_shortage,DEdr18_shortage,DEdr18_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DEdr18_pp_biomass,DEdr18_pp_biomass,DEdr18_bus_el,0.38,816.851,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DEdr18_pp_biomass,GL_bus_biomass,DEdr18_pp_biomass,,,,,,,,,,,,,,,,,
Source,DEdr18_run_of_river,DEdr18_run_of_river,DEdr18_bus_el,,2263.44,,,,0.65,,,TRUE,,,,,,,,
Source,DEdr18_solar,DEdr18_solar,DEdr18_bus_el,,16833.314,,,,seq,,,TRUE,,,,,,,,
Source,DEdr18_wind_onshore,DEdr18_wind_onshore,DEdr18_bus_el,,1863.947,,,,seq,,,TRUE,,,,,,,,
Source,DEdr18_geothermal,DEdr18_geothermal,DEdr18_bus_el,,2156.731,,,,0.95,,,TRUE,,,,,,,,
Storage,DEdr18_storage_a_caes,DEdr18_storage_a_caes,DEdr18_bus_el,,222.95,,0.85,,,,0,,388.95,0,0.837,0.837,0.5,0,1,
Storage,DEdr18_storage_a_caes,DEdr18_bus_el,DEdr18_storage_a_caes,,222.95,,0.85,,,,0,,388.95,0,0.837,0.837,0.5,0,1,
Storage,DEdr18_storage_hydrogen,DEdr18_storage_hydrogen,DEdr18_bus_el,,724.06,,0.85,,,,0,,,,,,,,,
Storage,DEdr18_storage_hydrogen,DEdr18_bus_el,DEdr18_storage_hydrogen,,724.06,,0.85,,,,0,,7240.56,0,0.632,0.632,0.5,0,1,
Storage,DEdr18_storage_lithium_ion,DEdr18_storage_lithium_ion,DEdr18_bus_el,,1121.93,,0.85,,,,0,,,,,,,,,
Storage,DEdr18_storage_lithium_ion,DEdr18_bus_el,DEdr18_storage_lithium_ion,,1121.93,,0.85,,,,0,,5609.64,0,0.975,0.975,0.5,0,1,
Storage,DEdr18_storage_pumped_hydro,DEdr18_storage_pumped_hydro,DEdr18_bus_el,,98.8,,0.85,,,,0,,,,,,,,,
Storage,DEdr18_storage_pumped_hydro,DEdr18_bus_el,DEdr18_storage_pumped_hydro,,98.8,,0.85,,,,0,,691.6,0,0.894,0.894,0.5,0,1,
Storage,DEdr18_storage_redox_flow,DEdr18_storage_redox_flow,DEdr18_bus_el,,66.67,,0.85,,,,0,,,,,,,,,
Storage,DEdr18_storage_redox_flow,DEdr18_bus_el,DEdr18_storage_redox_flow,,66.67,,0.85,,,,0,,222.23,0,0.866,0.866,0.5,0,1,
Sink,DEdr18_load,DEdr18_bus_el,DEdr18_load,,4492.6906307065,,,,seq,,,,,,,,,,,
### ,,,,,,,,,,,,,,,,,,,,
### Deow,,,,,,,,,,,,,,,,,,,,
Sink,DEow19_excess,DEow19_bus_el,DEow19_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEow19_wind_offshore,DEow19_wind_offshore,DEow19_bus_el,,9600,,,,seq,,,TRUE,,,,,,,,
Sink,DEow20_excess,DEow20_bus_el,DEow20_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEow20_wind_offshore,DEow20_wind_offshore,DEow20_bus_el,,19200,,,,seq,,,TRUE,,,,,,,,
Sink,DEow21_excess,DEow21_bus_el,DEow21_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DEow21_wind_offshore,DEow21_wind_offshore,DEow21_bus_el,,19200,,,,seq,,,TRUE,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### DK,,,,,,,,,,,,,,,,,,,,
Sink,DK_excess,DK_bus_el,DK_excess,,,,,,,,0.00000001,,,,,,,,,
Source,DK_shortage,DK_shortage,DK_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,DK_pp_hard_coal,DK_pp_hard_coal,DK_bus_el,0.407,1082.571,,0.85,,,35000,4,,,,,,,,,
LinearTransformer,DK_pp_hard_coal,GL_bus_hard_coal,DK_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,DK_pp_gas,DK_pp_gas,DK_bus_el,0.35,273.308,,0.85,,,24000,0.5,,,,,,,,,
LinearTransformer,DK_pp_gas,GL_bus_gas,DK_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,DK_pp_biomass,DK_pp_biomass,DK_bus_el,0.38,3750,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,DK_pp_biomass,GL_bus_biomass,DK_pp_biomass,,,,,,,,,,,,,,,,,
Source,DK_run_of_river,DK_run_of_river,DK_bus_el,,13,,,,0.65,,,TRUE,,,,,,,,
Source,DK_solar,DK_solar,DK_bus_el,,2038,,,,seq,,,TRUE,,,,,,,,
Source,DK_wind_onshore,DK_wind_onshore,DK_bus_el,,18708,,,,seq,,,TRUE,,,,,,,,
Source,DK_wind_offshore,DK_wind_offshore,DK_bus_el,,25600,,,,seq,,,TRUE,,,,,,,,
Storage,DK_storage_a_caes,DK_storage_a_caes,DK_bus_el,,210,,0.85,,,,0,,,,,,,,,
Storage,DK_storage_a_caes,DK_bus_el,DK_storage_a_caes,,210,,0.85,,,,0,,366.36,0,0.837,0.837,0.5,0,1,
Storage,DK_storage_hydrogen,DK_storage_hydrogen,DK_bus_el,,4990,,0.85,,,,0,,,,,,,,,
Storage,DK_storage_hydrogen,DK_bus_el,DK_storage_hydrogen,,4990,,0.85,,,,0,,49900,0,0.632,0.632,0.5,0,1,
Storage,DK_storage_lithium_ion,DK_storage_lithium_ion,DK_bus_el,,870,,0.85,,,,0,,,,,,,,,
Storage,DK_storage_lithium_ion,DK_bus_el,DK_storage_lithium_ion,,870,,0.85,,,,0,,4350,0,0.975,0.975,0.5,0,1,
Storage,DK_storage_pumped_hydro,DK_storage_pumped_hydro,DK_bus_el,,870,,0.85,,,,0,,,,,,,,,
Storage,DK_storage_pumped_hydro,DK_bus_el,DK_storage_pumped_hydro,,870,,0.85,,,,0,,6090,0,0.894,0.894,0.5,0,1,
Storage,DK_storage_redox_flow,DK_storage_redox_flow,DK_bus_el,,60,,0.85,,,,0,,,,,,,,,
Storage,DK_storage_redox_flow,DK_bus_el,DK_storage_redox_flow,,60,,0.85,,,,0,,200,0,0.866,0.866,0.5,0,1,
Sink,DK_load,DK_bus_el,DK_load,,6006.9406976919,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### FR,,,,,,,,,,,,,,,,,,,,
Sink,FR_excess,FR_bus_el,FR_excess,,,,,,,,0.00000001,,,,,,,,,
Source,FR_shortage,FR_shortage,FR_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,FR_pp_hard_coal,FR_pp_hard_coal,FR_bus_el,0.407,1771.91,,0.85,,,35000,4,,,,,,,,,
LinearTransformer,FR_pp_hard_coal,GL_bus_hard_coal,FR_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,FR_pp_gas,FR_pp_gas,FR_bus_el,0.35,999.985,,0.85,,,24000,0.5,,,,,,,,,
LinearTransformer,FR_pp_gas,GL_bus_gas,FR_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,FR_pp_uranium,FR_pp_uranium,FR_bus_el,0.33,10235.535,,0.85,,,55000,0.5,,,,,,,,,
LinearTransformer,FR_pp_uranium,GL_bus_uranium,FR_pp_uranium,,,,,,,,,,,,,,,,,
LinearTransformer,FR_pp_biomass,FR_pp_biomass,FR_bus_el,0.38,28250,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,FR_pp_biomass,GL_bus_biomass,FR_pp_biomass,,,,,,,,,,,,,,,,,
Source,FR_run_of_river,FR_run_of_river,FR_bus_el,,28519,,,,0.65,,,TRUE,,,,,,,,
Source,FR_solar,FR_solar,FR_bus_el,,103055,,,,seq,,,TRUE,,,,,,,,
Source,FR_wind_onshore,FR_wind_onshore,FR_bus_el,,124197,,,,seq,,,TRUE,,,,,,,,
Source,FR_geothermal,FR_geothermal,FR_bus_el,,2,,,,0.95,,,TRUE,,,,,,,,
Storage,FR_storage_a_caes,FR_storage_a_caes,FR_bus_el,,250,,0.85,,,,0,,,,,,,,,
Storage,FR_storage_a_caes,FR_bus_el,FR_storage_a_caes,,250,,0.85,,,,0,,436.14,0,0.837,0.837,0.5,0,1,
Storage,FR_storage_hydrogen,FR_storage_hydrogen,FR_bus_el,,25990,,0.85,,,,0,,,,,,,,,
Storage,FR_storage_hydrogen,FR_bus_el,FR_storage_hydrogen,,25990,,0.85,,,,0,,259900,0,0.632,0.632,0.5,0,1,
Storage,FR_storage_lithium_ion,FR_storage_lithium_ion,FR_bus_el,,3420,,0.85,,,,0,,,,,,,,,
Storage,FR_storage_lithium_ion,FR_bus_el,FR_storage_lithium_ion,,3420,,0.85,,,,0,,17100,0,0.975,0.975,0.5,0,1,
Storage,FR_storage_pumped_hydro,FR_storage_pumped_hydro,FR_bus_el,,3420,,0.85,,,,0,,,,,,,,,
Storage,FR_storage_pumped_hydro,FR_bus_el,FR_storage_pumped_hydro,,3420,,0.85,,,,0,,23940,0,0.894,0.894,0.5,0,1,
Storage,FR_storage_redox_flow,FR_storage_redox_flow,FR_bus_el,,60,,0.85,,,,0,,,,,,,,,
Storage,FR_storage_redox_flow,FR_bus_el,FR_storage_redox_flow,,60,,0.85,,,,0,,200,0,0.866,0.866,0.5,0,1,
Sink,FR_load,FR_bus_el,FR_load,,89527.7635767244,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### LU,,,,,,,,,,,,,,,,,,,,
Sink,LU_excess,LU_bus_el,LU_excess,,,,,,,,0.00000001,,,,,,,,,
Source,LU_shortage,LU_shortage,LU_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,LU_pp_gas,LU_pp_gas,LU_bus_el,0.35,16.077,,0.85,,,24000,0.5,,,,,,,,,
LinearTransformer,LU_pp_gas,GL_bus_gas,LU_pp_gas,,,,,,,,,,,,,,,,,
Source,LU_run_of_river,LU_run_of_river,LU_bus_el,,149,,,,0.65,,,TRUE,,,,,,,,
Source,LU_solar,LU_solar,LU_bus_el,,1030,,,,seq,,,TRUE,,,,,,,,
Source,LU_wind_onshore,LU_wind_onshore,LU_bus_el,,739,,,,seq,,,TRUE,,,,,,,,
Storage,LU_storage_a_caes,LU_storage_a_caes,LU_bus_el,,127.59,,0.85,,,,0,,,,,,,,,
Storage,LU_storage_a_caes,LU_bus_el,LU_storage_a_caes,,127.59,,0.85,,,,0,,222.6,0,0.837,0.837,0.5,0,1,
Storage,LU_storage_hydrogen,LU_storage_hydrogen,LU_bus_el,,570.76,,0.85,,,,0,,,,,,,,,
Storage,LU_storage_hydrogen,LU_bus_el,LU_storage_hydrogen,,570.76,,0.85,,,,0,,5707.59,0,0.632,0.632,0.5,0,1,
Storage,LU_storage_lithium_ion,LU_storage_lithium_ion,LU_bus_el,,100.25,,0.85,,,,0,,,,,,,,,
Storage,LU_storage_lithium_ion,LU_bus_el,LU_storage_lithium_ion,,100.25,,0.85,,,,0,,501.27,0,0.975,0.975,0.5,0,1,
Storage,LU_storage_pumped_hydro,LU_storage_pumped_hydro,LU_bus_el,,1196.25,,0.85,,,,0,,,,,,,,,
Storage,LU_storage_pumped_hydro,LU_bus_el,LU_storage_pumped_hydro,,1196.25,,0.85,,,,0,,8373.77,0,0.894,0.894,0.5,0,1,
Storage,LU_storage_redox_flow,LU_storage_redox_flow,LU_bus_el,,3.42,,0.85,,,,0,,,,,,,,,
Storage,LU_storage_redox_flow,LU_bus_el,LU_storage_redox_flow,,3.42,,0.85,,,,0,,11.39,0,0.866,0.866,0.5,0,1,
Sink,LU_load,LU_bus_el,LU_load,,1114.6889703921,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### NL,,,,,,,,,,,,,,,,,,,,
Sink,NL_excess,NL_bus_el,NL_excess,,,,,,,,0.00000001,,,,,,,,,
Source,NL_shortage,NL_shortage,NL_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,NL_pp_hard_coal,NL_pp_hard_coal,NL_bus_el,0.407,952.283,,0.85,,,35000,4,,,,,,,,,
LinearTransformer,NL_pp_hard_coal,GL_bus_hard_coal,NL_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,NL_pp_uranium,NL_pp_uranium,NL_bus_el,0.33,77.683,,0.85,,,55000,0.5,,,,,,,,,
LinearTransformer,NL_pp_uranium,GL_bus_uranium,NL_pp_uranium,,,,,,,,,,,,,,,,,
LinearTransformer,NL_pp_gas,NL_pp_gas,NL_bus_el,0.35,426.039,,0.85,,,24000,0.5,,,,,,,,,
LinearTransformer,NL_pp_gas,GL_bus_gas,NL_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,NL_pp_biomass,NL_pp_biomass,NL_bus_el,0.38,4000,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,NL_pp_biomass,GL_bus_biomass,NL_pp_biomass,,,,,,,,,,,,,,,,,
Source,NL_run_of_river,NL_run_of_river,NL_bus_el,,104,,,,0.65,,,TRUE,,,,,,,,
Source,NL_solar,NL_solar,NL_bus_el,,22247,,,,seq,,,TRUE,,,,,,,,
Source,NL_wind_onshore,NL_wind_onshore,NL_bus_el,,14997,,,,seq,,,TRUE,,,,,,,,
Source,NL_wind_offshore,NL_wind_offshore,NL_bus_el,,15900,,,,seq,,,TRUE,,,,,,,,
Storage,NL_storage_a_caes,NL_storage_a_caes,NL_bus_el,,1708.35,,0.85,,,,0,,,,,,,,,
Storage,NL_storage_a_caes,NL_bus_el,NL_storage_a_caes,,1708.35,,0.85,,,,0,,2980.31,0,0.837,0.837,0.5,0,1,
Storage,NL_storage_hydrogen,NL_storage_hydrogen,NL_bus_el,,7641.84,,0.85,,,,0,,,,,,,,,
Storage,NL_storage_hydrogen,NL_bus_el,NL_storage_hydrogen,,7641.84,,0.85,,,,0,,76418.35,0,0.632,0.632,0.5,0,1,
Storage,NL_storage_lithium_ion,NL_storage_lithium_ion,NL_bus_el,,1342.28,,0.85,,,,0,,,,,,,,,
Storage,NL_storage_lithium_ion,NL_bus_el,NL_storage_lithium_ion,,1342.28,,0.85,,,,0,,6711.39,0,0.975,0.975,0.5,0,1,
Storage,NL_storage_pumped_hydro,NL_storage_pumped_hydro,NL_bus_el,,1342.28,,0.85,,,,0,,,,,,,,,
Storage,NL_storage_pumped_hydro,NL_bus_el,NL_storage_pumped_hydro,,1342.28,,0.85,,,,0,,9395.95,0,0.894,0.894,0.5,0,1,
Storage,NL_storage_redox_flow,NL_storage_redox_flow,NL_bus_el,,45.76,,0.85,,,,0,,,,,,,,,
Storage,NL_storage_redox_flow,NL_bus_el,NL_storage_redox_flow,,45.76,,0.85,,,,0,,152.53,0,0.866,0.866,0.5,0,1,
Sink,NL_load,NL_bus_el,NL_load,,18066.1418359341,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### NO,,,,,,,,,,,,,,,,,,,,
Sink,NO_excess,NO_bus_el,NO_excess,,,,,,,,0.00000001,,,,,,,,,
Source,NO_shortage,NO_shortage,NO_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,NO_pp_hard_coal,NO_pp_hard_coal,NO_bus_el,0.407,2.369,,0.85,,,35000,4,,,,,,,,,
LinearTransformer,NO_pp_hard_coal,GL_bus_hard_coal,NO_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,NO_pp_gas,NO_pp_gas,NO_bus_el,0.35,110.931,,0.85,,,24000,0.5,,,,,,,,,
LinearTransformer,NO_pp_gas,GL_bus_gas,NO_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,NO_pp_biomass,NO_pp_biomass,NO_bus_el,0.38,500,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,NO_pp_biomass,GL_bus_biomass,NO_pp_biomass,,,,,,,,,,,,,,,,,
Source,NO_run_of_river,NO_run_of_river,NO_bus_el,,70614,,,,0.65,,,TRUE,,,,,,,,
Source,NO_solar,NO_solar,NO_bus_el,,5368,,,,seq,,,TRUE,,,,,,,,
Source,NO_wind_onshore,NO_wind_onshore,NO_bus_el,,12175,,,,seq,,,TRUE,,,,,,,,
Source,NO_wind_offshore,NO_wind_offshore,NO_bus_el,,3000,,,,seq,,,TRUE,,,,,,,,
Storage,NO_storage_lithium_ion,NO_storage_lithium_ion,NO_bus_el,,0.08,,0.85,,,,0,,,,,,,,,
Storage,NO_storage_lithium_ion,NO_bus_el,NO_storage_lithium_ion,,0.08,,0.85,,,,0,,0.4,0,0.975,0.975,0.5,0,1,
Storage,NO_storage_pumped_hydro,NO_storage_pumped_hydro,NO_bus_el,,24344.08,,0.85,,,,0,,,,,,,,,
Storage,NO_storage_pumped_hydro,NO_bus_el,NO_storage_pumped_hydro,,24344.08,,0.85,,,,0,,84300000,0,0.894,0.894,0.5,0,1,
Sink,NO_load,NO_bus_el,NO_load,,22494.5232450301,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### PL,,,,,,,,,,,,,,,,,,,,
Sink,PL_excess,PL_bus_el,PL_excess,,,,,,,,0.00000001,,,,,,,,,
Source,PL_shortage,PL_shortage,PL_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,PL_pp_lignite,PL_pp_lignite,PL_bus_el,0.398,203.157,,0.85,,,39000,4.4,,,,,,,,,
LinearTransformer,PL_pp_lignite,GL_bus_lignite,PL_pp_lignite,,,,,,,,,,,,,,,,,
LinearTransformer,PL_pp_gas,PL_pp_gas,PL_bus_el,0.35,17.685,,0.85,,,24000,0.5,,,,,,,,,
LinearTransformer,PL_pp_gas,GL_bus_gas,PL_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,PL_pp_hard_coal,PL_pp_hard_coal,PL_bus_el,0.407,5486.288,,0.85,,,35000,4,,,,,,,,,
LinearTransformer,PL_pp_hard_coal,GL_bus_hard_coal,PL_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,PL_pp_biomass,PL_pp_biomass,PL_bus_el,0.38,14250,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,PL_pp_biomass,GL_bus_biomass,PL_pp_biomass,,,,,,,,,,,,,,,,,
Source,PL_run_of_river,PL_run_of_river,PL_bus_el,,2079,,,,0.65,,,TRUE,,,,,,,,
Source,PL_solar,PL_solar,PL_bus_el,,24220,,,,seq,,,TRUE,,,,,,,,
Source,PL_wind_onshore,PL_wind_onshore,PL_bus_el,,81918,,,,seq,,,TRUE,,,,,,,,
Storage,PL_storage_a_caes,PL_storage_a_caes,PL_bus_el,,1724.03,,0.85,,,,0,,,,,,,,,
Storage,PL_storage_a_caes,PL_bus_el,PL_storage_a_caes,,1724.03,,0.85,,,,0,,3007.65,0,0.837,0.837,0.5,0,1,
Storage,PL_storage_hydrogen,PL_storage_hydrogen,PL_bus_el,,311.1,,0.85,,,,0,,,,,,,,,
Storage,PL_storage_hydrogen,PL_bus_el,PL_storage_hydrogen,,311.1,,0.85,,,,0,,3111.03,0,0.632,0.632,0.5,0,1,
Storage,PL_storage_lithium_ion,PL_storage_lithium_ion,PL_bus_el,,4517.47,,0.85,,,,0,,,,,,,,,
Storage,PL_storage_lithium_ion,PL_bus_el,PL_storage_lithium_ion,,4517.47,,0.85,,,,0,,22587.36,0,0.975,0.975,0.5,0,1,
Storage,PL_storage_pumped_hydro,PL_storage_pumped_hydro,PL_bus_el,,4517.47,,0.85,,,,0,,,,,,,,,
Storage,PL_storage_pumped_hydro,PL_bus_el,PL_storage_pumped_hydro,,4517.47,,0.85,,,,0,,31622.31,0,0.894,0.894,0.5,0,1,
Storage,PL_storage_redox_flow,PL_storage_redox_flow,PL_bus_el,,38.89,,0.85,,,,0,,,,,,,,,
Storage,PL_storage_redox_flow,PL_bus_el,PL_storage_redox_flow,,38.89,,0.85,,,,0,,129.63,0,0.866,0.866,0.5,0,1,
Sink,PL_load,PL_bus_el,PL_load,,23057.5276198051,,,,seq,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
### SE,,,,,,,,,,,,,,,,,,,,
Sink,SE_excess,SE_bus_el,SE_excess,,,,,,,,0.00000001,,,,,,,,,
Source,SE_shortage,SE_shortage,SE_bus_el,,,,,,,,75,,,,,,,,,
LinearTransformer,SE_pp_hard_coal,SE_pp_hard_coal,SE_bus_el,0.407,85.279,,0.85,,,35000,4,,,,,,,,,
LinearTransformer,SE_pp_hard_coal,GL_bus_hard_coal,SE_pp_hard_coal,,,,,,,,,,,,,,,,,
LinearTransformer,SE_pp_gas,SE_pp_gas,SE_bus_el,0.35,321.539,,0.85,,,24000,0.5,,,,,,,,,
LinearTransformer,SE_pp_gas,GL_bus_gas,SE_pp_gas,,,,,,,,,,,,,,,,,
LinearTransformer,SE_pp_uranium,SE_pp_uranium,SE_bus_el,0.33,1496.178,,0.85,,,55000,0.5,,,,,,,,,
LinearTransformer,SE_pp_uranium,GL_bus_uranium,SE_pp_uranium,,,,,,,,,,,,,,,,,
LinearTransformer,SE_pp_biomass,SE_pp_biomass,SE_bus_el,0.38,5500,,0.85,5710,,29000,3.9,,,,,,,,,
LinearTransformer,SE_pp_biomass,GL_bus_biomass,SE_pp_biomass,,,,,,,,,,,,,,,,,
Source,SE_run_of_river,SE_run_of_river,SE_bus_el,,32158,,,,0.65,,,TRUE,,,,,,,,
Source,SE_solar,SE_solar,SE_bus_el,,8919,,,,seq,,,TRUE,,,,,,,,
Source,SE_wind_onshore,SE_wind_onshore,SE_bus_el,,24211,,,,seq,,,TRUE,,,,,,,,
Source,SE_wind_offshore,SE_wind_offshore,SE_bus_el,,3000,,,,seq,,,TRUE,,,,,,,,
Storage,SE_storage_lithium_ion,SE_storage_lithium_ion,SE_bus_el,,3209.92,,0.85,,,,0,,,,,,,,,
Storage,SE_storage_lithium_ion,SE_bus_el,SE_storage_lithium_ion,,3209.92,,0.85,,,,0,,16049.6,0,0.975,0.975,0.5,0,1,
Storage,SE_storage_pumped_hydro,SE_storage_pumped_hydro,SE_bus_el,,3317.92,,0.85,,,,0,,,,,,,,,
Storage,SE_storage_pumped_hydro,SE_bus_el,SE_storage_pumped_hydro,,3317.92,,0.85,,,,0,,23225.43,0,0.894,0.894,0.5,0,1,
Sink,SE_load,SE_bus_el,SE_load,,25381.8776558842,,,,seq,,,,,,,,,,,
### ,,,,,,,,,,,,,,,,,,,,
### ,,,,,,,,,,,,,,,,,,,,
### ### NET TRANSFER CAPACITIES,,,,,,,,,,,,,,,,,,,,
### LinearTransformer,AT_CH_powerline,AT_bus_el,AT_CH_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,AT_CH_powerline,AT_CH_powerline,CH_bus_el,0.97,1200,,,,,,,,,,,,,,,
### LinearTransformer,AT_CZ_powerline,AT_bus_el,AT_CZ_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,AT_CZ_powerline,AT_CZ_powerline,CZ_bus_el,0.97,1200,,,,,,,,,,,,,,,
### LinearTransformer,AT_DEdr10_powerline,AT_bus_el,AT_DEdr10_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,AT_DEdr10_powerline,AT_DEdr10_powerline,AT_bus_el,0.97,6808,,,,,,,,,,,,,,,
### LinearTransformer,AT_DEdr12_powerline,AT_bus_el,AT_DEdr12_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,AT_DEdr12_powerline,AT_DEdr12_powerline,AT_bus_el,0.97,390,,,,,,,,,,,,,,,
### LinearTransformer,AT_DEdr18_powerline,AT_bus_el,AT_DEdr18_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,AT_DEdr18_powerline,AT_DEdr18_powerline,AT_bus_el,0.97,4074,,,,,,,,,,,,,,,
### LinearTransformer,BE_FR_powerline,BE_bus_el,BE_FR_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,BE_FR_powerline,BE_FR_powerline,FR_bus_el,0.97,2300,,,,,,,,,,,,,,,
### LinearTransformer,BE_LU_powerline,BE_bus_el,BE_LU_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,BE_LU_powerline,BE_LU_powerline,LU_bus_el,0.97,300,,,,,,,,,,,,,,,
### LinearTransformer,BE_NL_powerline,BE_bus_el,BE_NL_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,BE_NL_powerline,BE_NL_powerline,NL_bus_el,0.97,2400,,,,,,,,,,,,,,,
### LinearTransformer,BE_DEdr08_powerline,BE_bus_el,BE_DEdr08_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,BE_DEdr08_powerline,BE_DEdr08_powerline,BE_bus_el,0.97,1000,,,,,,,,,,,,,,,
### LinearTransformer,CH_AT_powerline,CH_AT_powerline,AT_bus_el,0.97,1200,,,,,,,,,,,,,,,
### LinearTransformer,CH_AT_powerline,CH_bus_el,CH_AT_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,CH_DEdr12_powerline,CH_bus_el,CH_DEdr12_powerline,,,,,,,,,,,,,,,,,
### LinearTransformer,CH_DEdr12_powerline,CH_DEdr12_powerline,CH_bus_el,0.97,11348,,,,,,,,,,,,,,,
