deu_2006,deu_2007,deu_2008,deu_2009,deu_2010,deu_2011
53492,54674,49761,50600,52302,50114
55126,56793,48854,53323,54271,53152
60726,63181,48444,60451,60837,60837
67752,70316,52028,67931,67604,68985
70029,72118,55616,69671,69715,71106
69734,71429,58561,69319,69721,70742
70332,71616,60631,69116,70035,71302
71067,72569,62001,68891,70226,72664
70494,71799,61854,68576,70462,72909
70016,70583,60278,67887,69951,72192
69271,69013,59135,67024,69081,71219
68649,68912,59253,67373,68666,70458
69322,69975,60922,68867,68926,70858
72563,73546,64730,72737,72034,72838
72136,73167,65068,72826,73130,72003
70231,70753,62080,71270,72159,69998
66672,66410,57947,68268,68926,65744
64643,63926,56149,66202,66326,63149
63672,62760,56582,64923,64397,61178
59577,58731,53342,61097,60593,56382
56234,55196,50368,58330,57709,51717
54669,52790,48009,56660,55812,49386
53601,51347,46746,54672,54351,48167
53106,51396,46265,53901,53481,48563
53766,51783,45991,53894,54061,49662
55346,51315,44729,55771,56034,52408
60940,51273,42303,61850,62174,60065
67878,54578,43790,68241,68976,67952
70179,58071,46825,70410,71193,70848
70016,60459,49853,69682,71106,70744
70674,62241,52113,69488,71663,71715
70803,62984,54541,69483,72084,72853
70154,61915,53427,68493,71727,72485
68727,59733,51143,67967,71549,72071
67281,57195,49375,67209,70770,71139
66457,56707,48954,66697,70386,70597
67659,57277,50853,67633,70354,70501
72132,61839,57392,71568,73133,72724
71849,62378,59665,71299,73992,71993
69042,60218,58696,69369,72740,70105
64744,56334,56594,65752,68928,65689
63176,54558,55899,63468,65904,62475
63396,54871,57306,62201,64238,59918
60863,51531,54166,58379,60545,55234
58544,48093,51219,54807,56186,50711
56780,46078,49430,53003,54058,48011
55523,45565,48852,52032,52495,46860
54112,45681,48574,51434,51937,47118
52934,46590,50200,51807,52103,48860
51216,46064,53559,53756,54181,52088
49198,44483,61412,59971,59925,59543
51779,45872,69075,66696,66378,66668
55118,48274,71511,68836,68461,69719
57858,51212,71116,68680,68593,69671
59637,54126,71667,69212,69142,70540
60472,56582,72029,69819,69836,71200
59843,55970,71841,69416,69798,70815
57838,53748,71455,68909,69269,69810
56117,51842,71141,68120,68230,67853
55618,51241,70518,67699,67521,67521
56848,52213,70924,68277,67240,68200
62758,58242,74541,70739,70093,70944
63510,60954,74508,70197,71013,70292
61141,60112,72259,68231,69779,67585
57637,57738,68158,64583,66324,62987
56597,56924,65620,62534,63228,60201
58090,57181,63624,60826,61605,58684
55881,53517,58682,56978,57775,54454
53440,50572,55453,53414,54672,49912
51353,48895,53139,51383,52604,47383
50067,48315,52216,50428,51447,46062
49013,48553,52139,50086,50935,46320
48102,49724,53445,50723,51437,46790
46038,52264,55981,52678,53496,46286
42470,60012,62776,59312,58974,46090
43319,67971,70084,65835,65633,49374
46616,70047,72527,67715,67984,53006
50455,69173,71495,67195,68282,55744
53355,69485,71751,67392,69138,57259
56000,70232,72402,67736,69801,58750
54976,69540,71931,67116,69341,58311
52784,68969,71632,66053,68346,57259
51228,68099,71370,65424,66811,55074
50602,67322,71556,65013,66051,54807
52076,68053,72810,65437,65859,55808
58460,73067,76648,69037,68350,59838
60698,73408,76763,68963,69039,60638
59731,71424,74852,67035,67475,58549
57711,67122,70579,63802,63861,55010
57750,64127,67585,61752,61037,53208
59727,62086,65441,60138,60138,52840
57482,57260,60492,56383,56942,49401
55462,53732,56607,53406,53932,46000
54198,51741,54195,51325,51634,43445
52872,50897,53239,50217,50164,42462
51882,51133,53539,49861,49217,42293
52067,52348,54640,50134,48789,42517
54993,55063,56687,51879,47953,41720
61382,62139,63410,57725,47460,40073
68988,69245,70163,64691,50464,41698
70782,71156,72489,66850,53854,44256
70579,70606,72104,66676,56916,47068
70854,71082,72677,66996,58678,49578
70963,72048,73615,67271,59943,51946
70635,71277,72615,66189,59620,51236
70194,70566,71507,64753,58059,49303
69364,69957,70240,63690,56887,47752
68518,69507,69727,63493,56775,47408
68274,69933,69872,64391,57458,48580
73090,73342,73692,68337,61046,54953
73515,73543,73714,68404,62847,57601
71415,71326,71673,65892,61434,56606
68137,67352,67321,62177,57828,54100
65873,64665,64598,59943,56382,53117
65062,62203,62502,59305,56615,53515
61461,56877,57817,55935,54349,50292
58640,52786,53627,52804,51934,47161
57136,50256,51257,50732,49482,45207
55883,49073,50471,49315,47536,44519
55199,49613,50739,48051,46738,45327
55369,51391,51743,47560,46033,47019
57191,54045,54034,46239,44376,50388
62659,61481,60805,44818,42324,58914
69861,69175,68223,47437,42701,66836
71750,71218,70387,51278,45240,68980
71830,70601,69717,54072,48679,68365
72505,71367,70156,55437,51170,68765
73261,72305,70572,56029,53765,69151
72945,71895,69801,55501,53721,68929
72364,71527,69656,54382,51865,68204
71928,70654,69365,53557,50363,67391
71694,70441,69360,53537,49705,67375
71736,71162,69866,55192,50070,67711
74611,74814,73802,59781,54227,71879
74040,75337,73852,60221,57036,72014
71763,73204,72022,58473,56633,69885
67807,69573,68198,54867,54517,65810
65824,67071,66045,53754,53362,63163
64234,64784,63933,54295,53978,60932
59951,58987,59026,51118,51023,55013
56762,54246,55442,48535,48355,51047
54922,51366,53344,46010,46399,48675
53690,49833,52403,44710,45423,47763
53535,50415,52735,43681,45350,47968
54712,50997,53063,43322,46405,49630
56915,53429,55274,42723,49129,52712
62686,60639,61397,40918,54989,60620
69322,67917,68285,42483,61833,68434
71029,70083,70787,45469,64738,70664
70669,70464,70245,48783,65560,69893
71503,71995,70918,51800,66077,70637
72536,73868,71953,55064,67287,71469
71628,74130,71068,55208,67005,70783
71081,74028,69738,53842,66687,70597
70395,73509,67987,53082,65658,70027
69831,72964,67795,52623,65026,69789
69647,72400,69072,53004,64707,69224
73000,74423,72768,56493,67437,71845
73145,72640,72514,57613,68671,71831
70824,69127,69815,56758,67565,69926
66901,64844,65776,54673,64256,65953
65054,61453,64074,54387,61582,63280
63689,59034,63059,55310,59748,60881
59799,53803,59227,52372,55070,56107
56471,50963,55918,49782,51541,51858
55079,49423,53091,47668,49737,49813
54167,49114,51836,46519,49043,49189
53879,49902,51652,46519,49056,49718
54474,51626,51736,47549,50105,51059
56059,53940,51562,50136,52381,53765
61441,60446,51662,57330,58516,61183
68450,68210,54974,64553,65302,68624
70127,70376,58215,66952,67824,70761
69535,70634,61180,67055,67815,70684
70160,71628,62899,67600,68318,71235
70900,72944,63778,68626,68798,71823
70204,72200,62630,68534,68363,71298
69809,70832,60098,68398,67758,70935
69361,69426,58157,68257,66724,70090
68744,68901,57350,68572,66352,69609
68714,69053,58228,69073,66145,69149
72615,72976,62227,71893,68712,72404
73013,73312,62467,71979,69869,72676
70881,70419,59664,69869,68970,70669
66842,65714,55678,65639,65333,66843
64411,62667,53653,63247,62500,64253
63733,61244,53527,61022,60407,62103
59865,56559,49762,56191,55945,57297
55827,51801,46229,52528,52613,53726
54134,48612,43419,50806,50859,51983
53218,47042,41981,49620,49667,50970
52750,46953,41916,49463,49683,51129
53250,47674,42529,50359,50497,52196
