datetime,BE_LU_powerline,DE_LU_powerline,FR_LU_powerline,LU_shortage,LU_BE_powerline,LU_DE_powerline,LU_excess,duals
2025-01-05 00:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.6302650957
2025-01-05 01:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.6302650957
2025-01-05 02:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.6302650957
2025-01-05 03:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.6302650957
2025-01-05 04:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.6302650957
2025-01-05 05:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.6302650957
2025-01-05 06:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,27.6302650957
2025-01-05 07:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,28.403055
2025-01-05 08:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-05 09:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-05 10:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-05 11:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-05 12:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-05 13:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,31.5038099507
2025-01-05 14:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-05 15:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-05 16:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
2025-01-05 17:00:00,0.0,211.649484536,510.0,0.0,721.649484536,0.0,0.0,34.1114383898
