datetime,DE_NO_powerline,DK_NO_powerline,NL_NO_powerline,NO_pp_biomass,NO_pp_gas,NO_pp_hard_coal,NO_pp_lignite,NO_pp_mixed_fuels,NO_pp_oil,NO_pp_uranium,NO_run_of_river,NO_shortage,NO_solar,NO_storage_phs_out,NO_wind,SE_NO_powerline,NO_DE_powerline,NO_DK_powerline,NO_NL_powerline,NO_SE_powerline,NO_excess,NO_load,NO_storage_phs_in,NO_storage_phs,duals
2025-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,835.3926,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14540.1198611,18.4686152376,680.0,5604.88888889,-1e-08
2025-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,2e-14,680.0,853.1999999999999,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14557.8300358,18.5658404832,680.0,5461.33333333,-1e-08
2025-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,9.230000000000001e-11,680.0,877.1274,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14581.8703425,18.4529337456,680.0,5317.77777778,-1e-08
2025-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,2.7657e-10,680.0,910.3554,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14615.2520212,18.2992551288,680.0,5174.22222222,-1e-08
2025-01-03 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,2.9839e-10,0.0,939.0708,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,13963.7635618,18.5031145176,680.0,5786.22222222,-1e-08
2025-01-03 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,1.5256000000000001e-10,680.0,974.7234000000001,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14679.3220728,18.5972034672,680.0,5642.66666667,-1e-08
2025-01-03 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,1.2530000000000001e-11,680.0,1011.9906,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14716.563137,18.6233392872,680.0,5499.11111111,-1e-08
2025-01-03 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1052.8668,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14757.5051993,18.5574770232,680.0,5355.55555556,-1e-08
2025-01-03 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1070.064,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14774.6689454,18.5909308704,680.0,5212.0,-1e-08
2025-01-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1091.5326,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14796.1166368,18.611839526399997,680.0,5068.44444444,-1e-08
2025-01-03 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,0.0,1112.0004000000001,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14136.8562493,18.340027008,680.0,5680.44444444,-1e-08
2025-01-03 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1130.9832,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14836.3534022,17.8256740872,680.0,5536.88888889,-1e-08
2025-01-03 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1138.671,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14844.4917837,17.3750925648,680.0,5393.33333333,-1e-08
2025-01-03 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1139.1984,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14845.4394477,16.9548285936,680.0,5249.77777778,-1e-08
2025-01-03 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1137.8682,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14844.7051444,16.3589319168,680.0,5106.22222222,-1e-08
2025-01-03 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,0.0,1134.3582,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14161.7617689,15.792307358400002,680.0,5718.22222222,-1e-08
2025-01-03 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1126.4454,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14834.3089593,15.3323169408,680.0,5574.66666667,-1e-08
2025-01-04 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1118.8224,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14827.2881286,14.730147667199999,680.0,5431.11111111,-1e-08
2025-01-04 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1104.1308,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14812.8683411,14.4583351488,680.0,5287.55555556,-1e-08
2025-01-04 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,1086.9750000000001,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14795.9101279,14.2607483568,680.0,5144.0,-1e-08
2025-01-04 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,0.0,1038.636,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14067.5094474,14.322428889600001,680.0,5756.0,-1e-08
2025-01-04 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,987.8471999999999,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14696.5178334,14.525242845600001,680.0,5612.44444444,-1e-08
2025-01-04 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,944.9082,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14653.2171137,14.8869625824,680.0,5468.88888889,-1e-08
2025-01-04 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,916.8822,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14624.829394,15.2486823192,680.0,5325.33333333,-1e-08
2025-01-04 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,885.4614,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14592.6328829,16.0243934304,680.0,5181.77777778,-1e-08
2025-01-04 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,0.0,863.9694,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,13890.4833056,16.68197064,680.0,5793.77777778,-1e-08
2025-01-04 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,4.851e-11,680.0,873.5237999999999,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14579.5379888,17.1816875016,680.0,5650.22222222,-1e-08
2025-01-04 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,1.8960000000000002e-10,680.0,877.9608000000001,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14583.6864493,17.4702269472,680.0,5506.66666667,-1e-08
2025-01-04 11:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,2.2057e-10,680.0,847.4094,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14553.1465491,17.4587271864,680.0,5363.11111111,-1e-08
2025-01-04 12:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,1.2040000000000002e-10,680.0,808.9686,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14514.8960179,17.268458421600002,680.0,5219.55555556,-1e-08
2025-01-04 13:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,1.687e-11,680.0,773.9568,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14479.8758544,17.276821884,680.0,5076.0,-1e-08
2025-01-04 14:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,0.0,764.4096,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,13790.0704325,17.535043778400002,680.0,5688.0,-1e-08
2025-01-04 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,744.2478,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14449.5531854,17.890490918399998,680.0,5544.44444444,-1e-08
2025-01-04 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,738.9522,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14444.2690851,17.878991157599998,680.0,5400.88888889,-1e-08
2025-01-04 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,748.251,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14453.6044753,17.8424010096,680.0,5257.33333333,-1e-08
2025-01-04 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,680.0,775.2384000000001,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,14481.0414114,17.3928649224,680.0,5113.77777778,-1e-08
2025-01-04 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21450.0,0.0,0.0,0.0,798.534,0.0,1443.29896907,1752.57731959,721.649484536,3809.27835052,13824.9548621,16.775014156799998,680.0,5725.77777778,-1e-08
