datetime,DE_SE_powerline,DK_SE_powerline,NO_SE_powerline,PL_SE_powerline,SE_pp_biomass,SE_pp_gas,SE_pp_hard_coal,SE_pp_lignite,SE_pp_mixed_fuels,SE_pp_oil,SE_pp_uranium,SE_run_of_river,SE_shortage,SE_solar,SE_storage_phs_out,SE_wind,SE_DE_powerline,SE_DK_powerline,SE_NO_powerline,SE_PL_powerline,SE_excess,SE_load,SE_storage_phs_in,SE_storage_phs,duals
2025-01-03 10:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,1121.17814327,10530.0,0.0,1.0466e-10,0.0,2160.7795,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17798.19475668,0.0,0.0,15.8230769231
2025-01-03 11:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,1069.49799127,10530.0,0.0,1.0390999999999999e-10,0.0,2174.051,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17759.78610468,0.0,0.0,15.8230769231
2025-01-03 12:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,919.940590929,10530.0,0.0,6.759000000000001e-11,0.0,2219.624,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17655.80170434,0.0,0.0,15.8230769231
2025-01-03 13:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,927.936949189,10530.0,0.0,1.274e-11,0.0,2274.393,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17718.567062600003,0.0,0.0,15.8230769231
2025-01-03 14:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,1078.33760673,10530.0,0.0,0.0,0.0,2369.433,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17964.00772014,0.0,0.0,15.8230769231
2025-01-03 15:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,1265.0063929,10530.0,0.0,0.0,0.0,2446.004,1237.11340206,2103.09278351,0.0,618.556701031,0.0,18227.24750631,0.0,0.0,15.8230769231
2025-01-03 16:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,1258.27488445,10530.0,0.0,0.0,0.0,2533.3,1237.11340206,2103.09278351,0.0,618.556701031,0.0,18307.81199786,0.0,0.0,15.8230769231
2025-01-03 17:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,772.868223699,10530.0,0.0,0.0,0.0,2566.234,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17855.33933711,0.0,0.0,15.8230769231
2025-01-03 18:00:00,0.0,0.0,3695.0,0.0,4250.0,0.0,0.0,8.5e-09,0.0,0.0,113.857341299,10530.0,0.0,0.0,0.0,2596.6545,1237.11340206,2103.09278351,0.0,618.556701031,0.0,17226.748954709998,0.0,0.0,15.8230769231
2025-01-03 19:00:00,0.0,0.0,3695.0,0.0,3526.54419144,0.0,0.0,8.5e-09,0.0,0.0,0.0,10530.0,0.0,0.0,0.0,2562.747,1237.11340206,2103.09278351,0.0,618.556701031,0.0,16355.52830485,0.0,0.0,15.3483846154
