datetime,R1_R2_powerline,R2_R1_powerline,R2_excess,R2_load,R2_pp_biomass,R2_pp_gas,R2_pp_hard_coal,R2_pp_lignite,R2_pp_mixed_fuels,R2_pp_oil,R2_pp_uranium,R2_run_of_river,R2_shortage,R2_solar,R2_storage_phs_in,R2_storage_phs_level,R2_storage_phs_out,R2_wind,duals
2030-01-02 11:00:00,0.0,6923.6384515464,0.0,16006.102212,0.0,0.0,531.560663546395,4250.0,0.0,0.0,4250.0,6500.0,0.0,899.2700000000001,0.0,8699.36308829324,850.0,5648.910000000001,32.8266730952632
2030-01-02 12:00:00,0.0,7303.37107731959,0.0,15922.196796,0.0,0.0,944.287873319589,4250.0,0.0,0.0,4250.0,6500.0,0.0,880.87,0.0,7754.9186438488,850.0,5550.41,32.8266730952632
2030-01-02 13:00:00,0.0,7850.23288608247,0.0,15704.042716,0.0,0.0,1494.92560208247,4250.0,0.0,0.0,4250.0,6500.0,0.0,792.95,0.0,6810.47419940436,850.0,5416.400000000001,32.8266730952632
2030-01-02 14:00:00,0.0,8998.96664123712,0.0,15803.203662,0.0,0.0,3374.63030323711,4250.0,0.0,0.0,4250.0,6500.0,0.0,438.6,0.0,5866.02975495991,850.0,5138.94,32.8266730952632
2030-01-02 15:00:00,0.0,9084.109954,0.0,15972.540046000002,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,32.48,0.0,4921.58531051547,850.0,4924.17,54.5699958615385
2030-01-02 16:00:00,0.0,7862.795264,0.0,17157.894736,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,3977.14086607102,850.0,4920.69,54.5699958615385
2030-01-02 17:00:00,0.0,7934.167612,0.0,17234.172388,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,3032.69642162658,850.0,5068.34,54.5699958615385
2030-01-02 18:00:00,0.0,8767.07209,0.0,16587.33791,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,2088.25197718213,850.0,5254.410000000001,54.5699958615385
2030-01-02 19:00:00,0.0,7603.70932835052,0.0,15763.539282000002,0.0,0.0,2008.64861035052,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,1143.80753273769,850.0,5508.6,32.8266730952632
2030-01-02 20:00:00,0.0,6205.45601958763,0.0,15052.631578,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,6500.0,0.0,0.0,0.0,695.387979862546,403.57759758763,5854.51,32.8266730952632
