datetime,R1_R2_powerline,R1_excess,R1_load,R1_pp_biomass,R1_pp_gas,R1_pp_hard_coal,R1_pp_lignite,R1_pp_mixed_fuels,R1_pp_oil,R1_pp_uranium,R1_run_of_river,R1_shortage,R1_solar,R1_wind,R2_R1_powerline,duals
2030-01-02 20:00:00,0.0,0.0,23191.962338999998,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,1172.67,6019.292339,33.8419310260445
2030-01-02 21:00:00,0.0,0.0,22963.124401,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,1063.0249999999999,5900.099401,33.8419310260445
2030-01-02 22:00:00,0.0,0.0,21162.932612499997,0.0,0.0,2817.83363108,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,951.655,5643.44398142,32.8266730952632
2030-01-02 23:00:00,0.0,0.0,19930.258915000002,0.0,0.0,334.922467860002,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,861.475,6983.86144714,32.8266730952632
2030-01-03 00:00:00,0.0,0.0,18941.679015,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,826.9200000000001,6364.759015,21.8342582745524
2030-01-03 01:00:00,0.0,0.0,18593.8453505,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,823.25,6020.5953505,21.8342582745524
2030-01-03 02:00:00,0.0,0.0,18258.2163715,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,803.845,5704.3713715,21.8342582745524
2030-01-03 03:00:00,0.0,0.0,19045.418882,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,763.605,6531.813882,21.8342582745524
2030-01-03 04:00:00,0.0,0.0,21098.85799,0.0,0.0,0.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,700.17,8648.68799,21.8342582745524
2030-01-03 05:00:00,0.0,0.0,23637.4335295,0.0,0.0,2695.62560147999,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,636.785,8555.02292802,32.8266730952632
2030-01-03 06:00:00,0.0,0.0,26075.3203725,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,615.97,9459.3503725,33.8419310260445
2030-01-03 07:00:00,0.0,0.0,27213.407725,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,390.93500000000006,644.0400000000001,10178.432725,33.8419310260445
2030-01-03 08:00:00,0.0,0.0,27887.71685,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,975.845,668.71,10243.16185,33.8419310260445
2030-01-03 09:00:00,0.0,0.0,27985.3543725,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,1529.44,652.775,9803.1393725,33.8419310260445
2030-01-03 10:00:00,0.0,0.0,28000.6102355,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,1844.1299999999999,725.6,9430.8802355,33.8419310260445
2030-01-03 11:00:00,0.0,0.0,26993.723302000002,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,1814.76,890.585,8288.378302,33.8419310260445
2030-01-03 12:00:00,0.0,0.0,26423.154040499998,0.0,0.0,3615.99465144,4250.0,0.0,0.0,4250.0,3250.0,0.0,1470.735,1071.25,8515.17438906,32.8266730952632
2030-01-03 13:00:00,0.0,0.0,26209.5719655,0.0,0.0,3947.94022942,4250.0,0.0,0.0,4250.0,3250.0,0.0,846.8249999999999,1263.07,8401.73673608,32.8266730952632
2030-01-03 14:00:00,0.0,0.0,26426.205214499998,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,267.32,1500.1000000000001,8658.7852145,33.8419310260445
2030-01-03 15:00:00,0.0,0.0,28610.844738,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,3.585,1704.295,10902.964738,33.8419310260445
2030-01-03 16:00:00,0.0,0.0,29486.531252499997,0.0,0.0,4250.0,4250.0,642.980779619995,0.0,4250.0,3250.0,0.0,0.0,1765.7549999999999,11077.79547288,56.2577276923077
2030-01-03 17:00:00,0.0,0.0,28934.269024499998,0.0,0.0,4250.0,4250.0,77.1590603399982,0.0,4250.0,3250.0,0.0,0.0,1730.6550000000002,11126.45496416,56.2577276923077
2030-01-03 18:00:00,0.0,0.0,27124.923721,0.0,0.0,4250.0,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,1632.2900000000002,9492.633721,33.8419310260445
2030-01-03 19:00:00,0.0,0.0,24894.5166085,0.0,0.0,4158.36117242,4250.0,0.0,0.0,4250.0,3250.0,0.0,0.0,1494.56,7491.59543608,32.8266730952632
