class,demand_el,pv,wind,demand_th,price_el
,0.7687211228,0.268375,0.569487,0.2756799032,-36.37
,0.760962427,0.202304,0.507579,0.2672108186,-32.08
,0.7528550257,0.109901,0.437139,0.2659853869,-28.67
,0.7663673612,0.031894,0.386878,0.2701684451,-26.68
,0.8251242263,0.000307,0.355764,0.2793290922,-25.95
,0.8388980908,0,0.329259,0.2895400515,-25.92
,0.8151861215,0,0.306439,0.3060718235,-28.22
,0.7600906634,0,0.28724,0.3194935864,-31.84
,0.7054310871,0,0.262898,0.308095897,-32.96
,0.6626274954,0,0.234534,0.2873532149,-31.96
,0.6560892686,0,0.212605,0.2461959584,-29.46
,0.6046552175,0,0.190331,0.1766938357,-29.16
,0.569435969,0,0.172295,0.1696068341,-24.59
,0.541190829,0,0.165384,0.1655940671,-24.1
,0.5312527243,0,0.16465,0.1700881514,-21.68
,0.5216633249,0,0.160769,0.1773041705,-21.22
,0.5441548252,0,0.152721,0.1901486592,-20.64
,0.602824514,0,0.140034,0.2237509635,-20.9
,0.6753552437,0,0.127357,0.2962577996,-22.5
,0.7450091535,0,0.123194,0.3471333528,-27.46
,0.777525935,0.078187,0.128808,0.3351252995,-35.45
,0.79679191,0.195169,0.133742,0.315651352,-40.08
,0.7995815535,0.305888,0.130555,0.2983471149,-39.93
,0.8000174353,0.368826,0.14512,0.2770327689,-36.44
,0.7712492372,0.362952,0.178117,0.2642448856,-35.64
,0.7549472583,0.294147,0.21425,0.256127093,-30.92
,0.7488449133,0.169365,0.252614,0.2549524913,-27.77
,0.7550344347,0.053464,0.30002,0.2589620391,-25.28
,0.8174527068,0.000717,0.340859,0.2677427087,-25.26
,0.8424723215,0,0.353151,0.2775301242,-25.49
,0.8266934007,0,0.346131,0.2933761694,-28
,0.7749978206,0,0.326458,0.3062412067,-31.82
,0.7112719031,0,0.298912,0.2953162858,-33.61
,0.6664632552,0,0.271453,0.2754339962,-31.98
,0.6674221951,0,0.264069,0.2359839151,-30.66
,0.6144189696,0,0.255704,0.1693646938,-32.16
,0.5784151338,0,0.239658,0.1625716563,-28.94
,0.5502571703,0,0.223974,0.1655940671,-23.72
,0.5316014297,0,0.206808,0.1700881514,-23.21
,0.5175660361,0,0.183956,0.1773041705,-21.63
,0.5325603696,0,0.158257,0.1901486592,-21.29
,0.5622003313,0,0.123656,0.2237509635,-21.26
,0.6008194578,0,0.091714,0.2962577996,-21.3
,0.6614070264,0,0.068078,0.3471333528,-21.53
,0.7072617906,0.019403,0.054547,0.3351252995,-23.5
,0.7404759829,0.058531,0.057944,0.315651352,-27.49
,0.7552087874,0.084818,0.081962,0.2983471149,-28.98
,0.7618341906,0.096619,0.121296,0.2770327689,-26.56
,0.7376863395,0.091739,0.174995,0.2642448856,-26.91
,0.7230407114,0.074938,0.258907,0.256127093,-25.73
,0.7116206085,0.045423,0.383407,0.2549524913,-22.78
,0.7189434225,0.011641,0.526931,0.2589620391,-21.58
,0.7641007759,0,0.657339,0.2677427087,-21.41
,0.7744747624,0,0.748305,0.2775301242,-21.53
,0.7392555139,0,0.806185,0.2933761694,-25.29
,0.709789905,0,0.834782,0.3062412067,-28.19
,0.6621916136,0,0.845516,0.2953162858,-30.07
,0.623049429,0,0.845993,0.2754339962,-29.87
,0.6261006015,0,0.841387,0.2359839151,-29.88
,0.5721384361,0,0.834216,0.1693646938,-30.99
,0.5349141313,0,0.814939,0.1625716563,-28.88
,0.5000435882,0,0.787758,0.1794790773,-24.43
,0.4879260744,0,0.755493,0.1843499891,-22
,0.4773777352,0,0.71703,0.1921710692,-20.08
,0.4857466655,0,0.660792,0.2060925642,-19.08
,0.5025717026,0,0.591239,0.2425124111,-18.03
,0.5261093192,0,0.524566,0.3210989225,-16.61
,0.5735332578,0,0.462304,0.3762403747,-16.09
,0.6129369715,0.00554,0.386052,0.3632254499,-17.78
,0.659837852,0.02643,0.297422,0.3421186181,-17.89
,0.6950571005,0.04573,0.222324,0.3233634261,-17.08
,0.7064772034,0.057099,0.166182,0.300261879,-17.84
,0.6786679453,0.068052,0.118535,0.2864017358,-18.48
,0.6589660884,0.071526,0.082108,0.2776032688,-17.94
,0.6423154041,0.049794,0.064249,0.2763301771,-15.15
,0.6507715108,0.017918,0.06836,0.2806759242,-14.47
,0.7056926162,0.000285,0.094394,0.2901928502,-14.03
,0.7224304769,0,0.129465,0.3008009374,-14.54
,0.7161537791,0,0.155494,0.3179756685,-18.62
,0.6888675791,0,0.176567,0.331919435,-23.91
,0.6483305727,0,0.198698,0.320078463,-26.92
,0.6149420277,0,0.224562,0.2985290497,-28.85
,0.6198239038,0,0.231382,0.2557710917,-29.14
,0.5788510156,0,0.224481,0.1835658699,-30.74
,0.5414523581,0,0.212267,0.1762032383,-27.93
,0.5149507454,0,0.204475,0.1727600376,-24.59
,0.5006538227,0,0.194545,0.1774486003,-22.76
,0.4935053613,0,0.178164,0.1849768878,-21.87
,0.5023101735,0,0.14333,0.198377213,-21.19
,0.5200069741,0,0.106283,0.2334336342,-21.15
,0.537529422,0,0.07623,0.3090781543,-22.71
,0.5854764188,0,0.055587,0.3621553123,-29.98
,0.6255775434,0.077264,0.039141,0.3496276187,-36.16
,0.6571353849,0.216289,0.023739,0.3293109494,-37.82
,0.6783192398,0.335969,0.017391,0.3112578832,-34.94
,0.6802371197,0.403832,0.021849,0.2890211734,-32.57
,0.6458024584,0.406394,0.042782,0.2756799032,-31.93
,0.6285415395,0.355394,0.062213,0.2672108186,-28.63
,0.617208613,0.242918,0.080229,0.2659853869,-28.08
,0.6330747101,0.093341,0.111066,0.2701684451,-28.78
,0.6963647459,0.00175,0.163784,0.2793290922,-29.63
,0.7304507018,0,0.229751,0.2895400515,-30.99
,0.7345479906,0,0.287306,0.3060718235,-34.68
,0.7099642577,0,0.32231,0.3194935864,-38.76
,0.6594019702,0,0.334882,0.308095897,-41.06
,0.6214802546,0,0.345451,0.2873532149,-37.31
,0.6282800105,0,0.365203,0.2461959584,-34.2
,0.5814663063,0,0.384523,0.1766938357,-33.81
,0.547031645,0,0.39018,0.1696068341,-28.79
,0.5287246099,0,0.371334,0.1469452338,-24.85
,0.5186993287,0,0.342398,0.1500444621,-23.34
,0.5157353326,0,0.307524,0.1569258683,-22.59
,0.5479034086,0,0.273708,0.1740503842,-21.58
,0.643274344,0,0.242204,0.2175136794,-21.67
,0.7727312353,0,0.211476,0.2993166845,-22.09
,0.8572923023,0,0.189333,0.3541620446,-29.68
,0.8777787464,0.009195,0.164665,0.3316082816,-35.82
,0.8854502659,0.047641,0.132215,0.3062301219,-39.48
,0.8880655566,0.090388,0.105303,0.2851263663,-34.49
,0.8932089617,0.127088,0.081704,0.2630026701,-29.15
,0.8717635777,0.148794,0.059294,0.2502968704,-28.8
,0.8667945253,0.150591,0.045594,0.2435902264,-25.94
,0.8602562985,0.128613,0.044297,0.2437331516,-25.59
,0.8549385407,0.07106,0.053339,0.246778243,-25.18
,0.9039316537,0.003258,0.071534,0.2542671496,-26.41
,0.9244180978,0,0.090871,0.2675343843,-27.53
,0.8961729579,0,0.10907,0.2856671632,-32.13
,0.8317496295,0,0.125489,0.297276272,-36.02
,0.7736029989,0,0.136596,0.2837494791,-38.48
,0.7194664807,0,0.150649,0.2626769986,-34.9
,0.7044721472,0,0.162367,0.2184679538,-32.97
,0.6459768111,0,0.176367,0.1507227637,-32.59
,0.614767675,0,0.193332,0.1441735159,-27.54
,0.5920146456,0,0.203727,0.1237197599,-25.98
,0.5765844303,0,0.210103,0.1263291388,-23.89
,0.5738819632,0,0.206776,0.1321229022,-22.83
,0.5971580507,0,0.194505,0.1465407975,-21.68
,0.6867753465,0,0.183395,0.1831344883,-21.54
,0.8074274257,0,0.175232,0.2520080944,-23.38
