class,label,source,target,conversion_factors,nominal_value,min,max,summed_min,actual_value,positive_gradient,negative_gradient,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
### GLOBAL RESOURCES,,,,,,,,,,,,,,,,,,,,,,
LinearTransformer,CZ_pp_biomass,GL_bus_biomass,CZ_pp_biomass,,,,,,,,,,,,,,,,,,,
LinearTransformer,CZ_pp_biomass,CZ_pp_biomass,CZ_bus_el,0.38,360,,0.85,4000,,,,29000,3.9,,,,,,,,,
Source,CZ_wind,CZ_wind,CZ_bus_el,,310,,,,seq,,,,,True,,,,,,,,
Source,CZ_solar,CZ_solar,CZ_bus_el,,2150,,,,seq,,,,,True,,,,,,,,
Source,CZ_run_of_river,CZ_run_of_river,CZ_bus_el,,250,,,,0.65,,,,,True,,,,,,,,
Storage,CZ_storage_phs,CZ_bus_el,CZ_storage_phs,,1900,,0.85,,,,,,0,,19000,0,0.9,0.9,0.5,0,1,
Storage,CZ_storage_phs,CZ_storage_phs,CZ_bus_el,,1900,,0.85,,,,,,0,,,,,,,,,
Sink,CZ_load,CZ_bus_el,CZ_load,,10060,,,,seq,,,,,True,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
### DE,,,,,,,,,,,,,,,,,,,,,,
Sink,DE_excess,DE_bus_el,DE_excess,,,,,,,,,,0.00000001,,,,,,,,,
Source,DE_shortage,DE_shortage,DE_bus_el,,,,,,,,,,75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_uranium_0,GL_bus_uranium,DE_pp_uranium_0,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_uranium_0,DE_pp_uranium_0,DE_bus_el,0.3,2414,,0.85,,,0.1,0.1,55000,0.5,,,,,,,,,
LinearTransformer,DE_pp_uranium_1,GL_bus_uranium,DE_pp_uranium_1,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_uranium_1,DE_pp_uranium_1,DE_bus_el,0.3125,2414,,0.85,,,0.1,0.1,55000,0.5,,,,,,,,,
LinearTransformer,DE_pp_uranium_2,GL_bus_uranium,DE_pp_uranium_2,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_uranium_2,DE_pp_uranium_2,DE_bus_el,0.325,2414,,0.85,,,0.1,0.1,55000,0.5,,,,,,,,,
LinearTransformer,DE_pp_uranium_3,GL_bus_uranium,DE_pp_uranium_3,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_uranium_3,DE_pp_uranium_3,DE_bus_el,0.3375,2414,,0.85,,,0.1,0.1,55000,0.5,,,,,,,,,
LinearTransformer,DE_pp_uranium_4,GL_bus_uranium,DE_pp_uranium_4,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_uranium_4,DE_pp_uranium_4,DE_bus_el,0.35,2414,,0.85,,,0.1,0.1,55000,0.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_lignite_0,GL_bus_lignite,DE_pp_lignite_0,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_lignite_0,DE_pp_lignite_0,DE_bus_el,0.3,4248,,0.85,,,0.2,0.2,39000,4.4,,,,,,,,,
LinearTransformer,DE_pp_lignite_1,GL_bus_lignite,DE_pp_lignite_1,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_lignite_1,DE_pp_lignite_1,DE_bus_el,0.34,4248,,0.85,,,0.2,0.2,39000,4.4,,,,,,,,,
LinearTransformer,DE_pp_lignite_2,GL_bus_lignite,DE_pp_lignite_2,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_lignite_2,DE_pp_lignite_2,DE_bus_el,0.38,4248,,0.85,,,0.2,0.2,39000,4.4,,,,,,,,,
LinearTransformer,DE_pp_lignite_3,GL_bus_lignite,DE_pp_lignite_3,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_lignite_3,DE_pp_lignite_3,DE_bus_el,0.42,4248,,0.85,,,0.2,0.2,39000,4.4,,,,,,,,,
LinearTransformer,DE_pp_lignite_4,GL_bus_lignite,DE_pp_lignite_4,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_lignite_4,DE_pp_lignite_4,DE_bus_el,0.46,4248,,0.85,,,0.2,0.2,39000,4.4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_hard_coal_0,GL_bus_hard_coal,DE_pp_hard_coal_0,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_hard_coal_0,DE_pp_hard_coal_0,DE_bus_el,0.3,6000,,0.85,,,0.3,0.3,35000,4,,,,,,,,,
LinearTransformer,DE_pp_hard_coal_1,GL_bus_hard_coal,DE_pp_hard_coal_1,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_hard_coal_1,DE_pp_hard_coal_1,DE_bus_el,0.34,6000,,0.85,,,0.3,0.3,35000,4,,,,,,,,,
LinearTransformer,DE_pp_hard_coal_2,GL_bus_hard_coal,DE_pp_hard_coal_2,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_hard_coal_2,DE_pp_hard_coal_2,DE_bus_el,0.38,6000,,0.85,,,0.3,0.3,35000,4,,,,,,,,,
LinearTransformer,DE_pp_hard_coal_3,GL_bus_hard_coal,DE_pp_hard_coal_3,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_hard_coal_3,DE_pp_hard_coal_3,DE_bus_el,0.42,6000,,0.85,,,0.3,0.3,35000,4,,,,,,,,,
LinearTransformer,DE_pp_hard_coal_4,GL_bus_hard_coal,DE_pp_hard_coal_4,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_hard_coal_4,DE_pp_hard_coal_4,DE_bus_el,0.46,6000,,0.85,,,0.3,0.3,35000,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_gas_0,GL_bus_gas,DE_pp_gas_0,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_gas_0,DE_pp_gas_0,DE_bus_el,0.25,5692,,0.85,,,,,19000,2,,,,,,,,,
LinearTransformer,DE_pp_gas_1,GL_bus_gas,DE_pp_gas_1,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_gas_1,DE_pp_gas_1,DE_bus_el,0.3375,5692,,0.85,,,,,19000,2,,,,,,,,,
LinearTransformer,DE_pp_gas_2,GL_bus_gas,DE_pp_gas_2,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_gas_2,DE_pp_gas_2,DE_bus_el,0.425,5692,,0.85,,,,,19000,2,,,,,,,,,
LinearTransformer,DE_pp_gas_3,GL_bus_gas,DE_pp_gas_3,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_gas_3,DE_pp_gas_3,DE_bus_el,0.5125,5692,,0.85,,,,,19000,2,,,,,,,,,
LinearTransformer,DE_pp_gas_4,GL_bus_gas,DE_pp_gas_4,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_gas_4,DE_pp_gas_4,DE_bus_el,0.6,5692,,0.85,,,,,19000,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_oil_0,GL_bus_oil,DE_pp_oil_0,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_oil_0,DE_pp_oil_0,DE_bus_el,0.25,690,,0.85,,,,,6000,1.5,,,,,,,,,
LinearTransformer,DE_pp_oil_1,GL_bus_oil,DE_pp_oil_1,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_oil_1,DE_pp_oil_1,DE_bus_el,0.295,690,,0.85,,,,,6000,1.5,,,,,,,,,
LinearTransformer,DE_pp_oil_2,GL_bus_oil,DE_pp_oil_2,,,,,,,,,,,,,,,,,,,
LinearTransformer,DE_pp_oil_2,DE_pp_oil_2,DE_bus_el,0.34,690,,0.85,,,,,6000,1.5,,,,,,,,,
LinearTransformer,DE_pp_oil_3,GL_bus_oil,DE_pp_oil_3,,,,,,,,,,,,,,,,,,,
