class,Sink,Source,Source,LinearTransformer,LinearTransformer
label,demand1,solar1,wind1,chp1,chp1
source,bus_el1,solar1,wind1,chp1,chp1
target,demand1,bus_el1,bus_el1,bus_el1,bus_th1
attribute,actual_value,actual_value,actual_value,max,max
,0.4211200586,0.0203565025,0.3633394178,0.97,0.99
,0.4510736945,0.0324860247,0.4301085599,0.97,0.99
,0.4444851147,0.0349119291,0.4730521664,0.97,0.99
,0.4219131284,0.0306929649,0.4651743683,0.97,0.99
,0.4110541728,0.0195127096,0.4565280046,0.97,0.99
,0.4110541728,0.0075941356,0.452108752,0.97,0.99
,0.4570522206,0.0006328446,0.4130079739,0.97,0.99
,0.5098828697,0,0.352099145,0.97,0.99
,0.5379453392,0,0.326736478,0.97,0.99
,0.5273914104,0,0.279373619,0.97,0.99
,0.4972547584,0,0.2512249015,0.97,0.99
,0.4842606149,0,0.217504083,0.97,0.99
,0.5112249878,0,0.1963685272,0.97,0.99
,0.4708394339,0,0.1473724661,0.97,0.99
,0.4367984383,0,0.1158612739,0.97,0.99
,0.4094070278,0,0.0949178595,0.97,0.99
,0.4014153245,0,0.0880968393,0.97,0.99
,0.4143484627,0,0.07733692,0.97,0.99
,0.4459492435,0,0.0616773946,0.97,0.99
,0.5054904832,0,0.053319243,0.97,0.99
,0.6581259151,0,0.0428475358,0.97,0.99
,0.8071010249,0,0.0322797579,0.97,0.99
,0.8674353343,0.0015821116,0.0255548083,0.97,0.99
,0.8714616886,0.0215167176,0.0234412528,0.97,0.99
,0.871034651,0.0577998101,0.0191180709,0.97,0.99
,0.8748169839,0.0842738108,0.0220962628,0.97,0.99
,0.8604807223,0.0970361776,0.0308386973,0.97,0.99
,0.8515129331,0.0897584643,0.0370832933,0.97,0.99
,0.8383967789,0.0702457547,0.0382361418,0.97,0.99
,0.8399829185,0.0334352916,0.0404457681,0.97,0.99
,0.8590775988,0.004008016,0.048035354,0.97,0.99
,0.9003782333,0,0.054952445,0.97,0.99
,0.891227428,0,0.0629263138,0.97,0.99
,0.8397999024,0,0.0683062734,0.97,0.99
,0.7543923865,0,0.0849265059,0.97,0.99
,0.6882015617,0,0.1060620617,0.97,0.99
,0.6551976574,0,0.1141320012,0.97,0.99
,0.5697901415,0,0.1279661831,0.97,0.99
,0.5078086872,0,0.1444903449,0.97,0.99
,0.4609565642,0,0.1534249207,0.97,0.99
,0.4405807711,0,0.1538092036,0.97,0.99
,0.4338701806,0,0.1667787492,0.97,0.99
,0.4424109322,0,0.1802286483,0.97,0.99
,0.4863958028,0,0.188875012,0.97,0.99
,0.6034651049,0,0.2097223557,0.97,0.99
,0.7306002928,0,0.2207704871,0.97,0.99
,0.7728160078,0.0030587491,0.2067441637,0.97,0.99
,0.7696437286,0.0274232676,0.1924296282,0.97,0.99
,0.7746461689,0.0639173083,0.1812854261,0.97,0.99
,0.7896534895,0.0822698028,0.1715822846,0.97,0.99
,0.7842850171,0.07551946,0.1807090018,0.97,0.99
,0.7925207418,0.048729037,0.1723508502,0.97,0.99
,0.7989263055,0.0276342158,0.1591891632,0.97,0.99
,0.8108223524,0.0100200401,0.1379575367,0.97,0.99
,0.8393728648,0.000949267,0.1285426074,0.97,0.99
,0.9027574427,0,0.1140359304,0.97,0.99
,0.8915934602,0,0.1075031223,0.97,0.99
,0.852489019,0,0.1035642233,0.97,0.99
,0.7816007809,0,0.0936689403,0.97,0.99
,0.7310273304,0,0.0902103949,0.97,0.99
,0.704306979,0,0.0886732635,0.97,0.99
,0.6048682284,0,0.0931885868,0.97,0.99
,0.5384943875,0,0.0947257181,0.97,0.99
,0.4959126403,0,0.1016428091,0.97,0.99
,0.4704734017,0,0.1074070516,0.97,0.99
,0.4596754514,0,0.1247958497,0.97,0.99
,0.4701073694,0,0.1423767893,0.97,0.99
,0.5220839434,0,0.1471803247,0.97,0.99
,0.6464128843,0,0.1559227592,0.97,0.99
,0.7752562225,0,0.1604380824,0.97,0.99
,0.8183260127,0.0023204303,0.1713901431,0.97,0.99
,0.8039287457,0.0223605105,0.1858968201,0.97,0.99
,0.7965470961,0.051682312,0.2088577193,0.97,0.99
,0.8006954612,0.0740428225,0.2326832549,0.97,0.99
,0.7676915569,0.082480751,0.246133154,0.97,0.99
,0.7590897999,0.0784727349,0.2561245076,0.97,0.99
,0.7554904832,0.0620187744,0.2589105582,0.97,0.99
,0.7607369449,0.030798439,0.2517052551,0.97,0.99
,0.7792215715,0.0039025419,0.2719761745,0.97,0.99
,0.8305880918,0,0.2673647805,0.97,0.99
,0.8230844314,0,0.2637140936,0.97,0.99
,0.7842850171,0,0.2567009319,0.97,0.99
,0.7086383602,0,0.26323374,0.97,0.99
,0.6439726696,0,0.2516091844,0.97,0.99
,0.6287823328,0,0.2467095782,0.97,0.99
,0.5562469497,0,0.2298011336,0.97,0.99
,0.5010370913,0,0.2424824671,0.97,0.99
,0.4597974622,0,0.267845134,0.97,0.99
,0.4358223524,0,0.27408973,0.97,0.99
,0.4376525134,0,0.3003170333,0.97,0.99
,0.4598584675,0,0.2897492555,0.97,0.99
,0.5090287945,0,0.2812950331,0.97,0.99
,0.6112737921,0,0.2814871746,0.97,0.99
,0.7377989263,0,0.2873474878,0.97,0.99
,0.7756222548,0.0010547411,0.2985877606,0.97,0.99
,0.7554904832,0.0130787892,0.3081948314,0.97,0.99
,0.7551854563,0.0383925746,0.3276971851,0.97,0.99
,0.7612249878,0.0640227824,0.3277932558,0.97,0.99
,0.7553684724,0.0772070457,0.3223172255,0.97,0.99
,0.7486578819,0.0731990296,0.2943606494,0.97,0.99
,0.7387750122,0.0515768379,0.2774522048,0.97,0.99
,0.753965349,0.0225714587,0.2469017197,0.97,0.99
,0.7775744265,0.0025313785,0.2318186185,0.97,0.99
,0.8408369937,0,0.2179844365,0.97,0.99
,0.8472425573,0,0.1908924969,0.97,0.99
,0.8183260127,0,0.1682198098,0.97,0.99
,0.7504880429,0,0.164857335,0.97,0.99
,0.693875061,0,0.1512152945,0.97,0.99
,0.6750854075,0,0.1575559612,0.97,0.99
,0.6138970229,0,0.1419925065,0.97,0.99
,0.5494143485,0,0.147756749,0.97,0.99
,0.5046974134,0,0.1506388702,0.97,0.99
,0.4765739385,0,0.1400710923,0.97,0.99
,0.4779160566,0,0.1257565568,0.97,0.99
,0.4960956564,0,0.1183591123,0.97,0.99
,0.5431918009,0,0.113843789,0.97,0.99
,0.6785017082,0,0.1014506677,0.97,0.99
,0.8366276232,0,0.0824286675,0.97,0.99
,0.8971449488,0.0022149562,0.0699394755,0.97,0.99
,0.8749389946,0.0381816264,0.0703237583,0.97,0.99
,0.8616398243,0.1131737159,0.0584109905,0.97,0.99
,0.840897999,0.1822592554,0.0514938995,0.97,0.99
,0.8077720839,0.21474528,0.059563839,0.97,0.99
,0.7874572962,0.1915409767,0.0586031319,0.97,0.99
,0.7817227916,0.1385929754,0.0589874147,0.97,0.99
,0.8049048316,0.0721442886,0.0562013642,0.97,0.99
,0.8646290874,0.010969307,0.0552406571,0.97,0.99
,0.946193265,0,0.0470746469,0.97,0.99
,0.9404587604,0,0.0413104045,0.97,0.99
,0.8830527086,0,0.0468825055,0.97,0.99
,0.7930697901,0,0.0385243539,0.97,0.99
,0.7443265007,0,0.0382361418,0.97,0.99
,0.7313933626,0,0.0385243539,0.97,0.99
,0.6725841874,0,0.0363147276,0.97,0.99
,0.6153001464,0,0.0327601114,0.97,0.99
,0.5635065886,0,0.0238255356,0.97,0.99
,0.5231210347,0,0.0169084446,0.97,0.99
,0.503477306,0,0.0169084446,0.97,0.99
,0.4932284041,0,0.0201748487,0.97,0.99
,0.48840898,0,0.0187337881,0.97,0.99
,0.491886286,0,0.0156595254,0.97,0.99
,0.5625915081,0,0.0140263234,0.97,0.99
,0.6351268912,0.0028478009,0.0111442021,0.97,0.99
,0.6604441191,0.0449319692,0.01085599,0.97,0.99
,0.6469619327,0.1288893577,0.0097992122,0.97,0.99
,0.6281722792,0.1920683472,0.0086463637,0.97,0.99
,0.5972425573,0.2291952326,0.0076856566,0.97,0.99
