class,label,source,target,conversion_factors,nominal_value,actual_value,fixed_costs,variable_costs,fixed,nominal_capacity,capacity_loss,inflow_conversion_factor,outflow_conversion_factor,initial_capacity,capacity_min,capacity_max,balanced
LinearTransformer,CZ_pp_oil,CZ_pp_oil,CZ_bus_el,oil,,0.02,,,,,,,,,,,
LinearTransformer,CZ_pp_oil,GL_bus_oil,CZ_pp_oil,oil,,,,,,,,,,,,,
LinearTransformer,CZ_pp_mixed_fuels,CZ_pp_mixed_fuels,CZ_bus_el,mixed_fuels,,0,,,,,,,,,,,
LinearTransformer,CZ_pp_mixed_fuels,GL_bus_mixed_fuels,CZ_pp_mixed_fuels,mixed_fuels,,,,,,,,,,,,,
Source,CZ_wind,CZ_wind,CZ_bus_el,wind,,0.86,,,,,,,,,,,
Source,CZ_solar,CZ_solar,CZ_bus_el,solar,,3.62,,,,,,,,,,,
LinearTransformer,CZ_pp_biomass,CZ_pp_biomass,CZ_bus_el,biomass,,0.56,,,,,,,,,,,
LinearTransformer,CZ_pp_biomass,GL_bus_biomass,CZ_pp_biomass,biomass,,,,,,,,,,,,,
Storage,CZ_storage_phs,CZ_storage_phs,CZ_bus_el,storage_phs,,2.2,,,,,,,,,,,
Sink,CZ_load,CZ_load,CZ_bus_el,load,,12.23,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
### DE,,,,,,,,,,,,,,,,,
Sink,DE_excess,DE_bus_el,DE_excess,,,,,1000,,,,,,,,,
Source,DE_shortage,DE_shortage,DE_bus_el,,,,,1000,,,,,,,,,
LinearTransformer,DE_pp_uranium,DE_pp_uranium,DE_bus_el,uranium,,0,,,,,,,,,,,
LinearTransformer,DE_pp_uranium,GL_bus_uranium,DE_pp_uranium,uranium,,,,,,,,,,,,,
LinearTransformer,DE_pp_lignite,DE_pp_lignite,DE_bus_el,lignite,,13.17,,,,,,,,,,,
LinearTransformer,DE_pp_lignite,GL_bus_lignite,DE_pp_lignite,lignite,,,,,,,,,,,,,
LinearTransformer,DE_pp_hard_coal,DE_pp_hard_coal,DE_bus_el,hard_coal,,22.63,,,,,,,,,,,
