0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
306000.0,-1.1,-6.4,67,102040,9999,9999,228,278,696,67,999900,999900,999900,99990,40,2.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
309600.0,-0.4,-6.6,63,101990,9999,9999,232,222,508,78,999900,999900,999900,99990,360,3.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
313200.0,-0.5,-6.5,64,101970,9999,9999,231,125,259,67,999900,999900,999900,99990,340,2.0,3,3,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
316800.0,-0.9,-6.8,64,101970,9999,9999,229,36,23,33,999900,999900,999900,99990,20,2.0,4,4,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
320400.0,-1.5,-7.0,66,101970,9999,9999,226,0,0,0,999900,999900,999900,99990,60,3.0,4,4,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
324000.0,-2.9,-6.5,76,102000,9999,9999,219,0,0,0,999900,999900,999900,99990,60,2.0,3,3,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
327600.0,-3.4,-7.5,73,102010,9999,9999,217,0,0,0,999900,999900,999900,99990,50,2.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
331200.0,-4.1,-7.9,75,102030,9999,9999,213,0,0,0,999900,999900,999900,99990,10,1.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
334800.0,-4.7,-8.3,76,102060,9999,9999,210,0,0,0,999900,999900,999900,99990,20,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
338400.0,-5.4,-8.5,79,102050,9999,9999,207,0,0,0,999900,999900,999900,99990,20,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
342000.0,-5.9,-8.6,81,102050,9999,9999,205,0,0,0,999900,999900,999900,99990,360,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
345600.0,-5.9,-8.6,81,102020,9999,9999,205,0,0,0,999900,999900,999900,99990,10,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
349200.0,-6.1,-8.8,81,101980,9999,9999,204,0,0,0,999900,999900,999900,99990,20,3.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
352800.0,-6.2,-9.1,80,101980,9999,9999,203,0,0,0,999900,999900,999900,99990,10,1.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
356400.0,-6.4,-9.3,80,102020,9999,9999,202,0,0,0,999900,999900,999900,99990,90,3.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
360000.0,-6.2,-9.6,77,102010,9999,9999,203,0,0,0,999900,999900,999900,99990,40,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
363600.0,-6.7,-9.7,79,101990,9999,9999,201,0,0,0,999900,999900,999900,99990,40,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
367200.0,-6.5,-10.0,76,101960,9999,9999,202,0,0,0,999900,999900,999900,99990,40,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
370800.0,-7.0,-10.0,79,101920,9999,9999,200,0,0,0,999900,999900,999900,99990,20,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
374400.0,-6.9,-10.2,77,101900,9999,9999,200,0,0,0,999900,999900,999900,99990,60,4.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
378000.0,-7.0,-10.5,76,101910,9999,9999,200,39,0,25,999900,999900,999900,99990,60,3.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
381600.0,-6.2,-9.9,75,101880,9999,9999,203,136,673,50,999900,999900,999900,99990,80,3.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
385200.0,-4.3,-8.9,70,101830,9999,9999,212,222,720,61,999900,999900,999900,99990,100,4.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
388800.0,-2.9,-8.5,65,101730,9999,9999,219,263,683,69,999900,999900,999900,99990,100,3.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
392400.0,-2.9,-10.2,57,101650,9999,9999,219,266,646,69,999900,999900,999900,99990,70,1.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
396000.0,-1.8,-8.9,58,101550,9999,9999,224,220,536,67,999900,999900,999900,99990,90,3.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
399600.0,-2.9,-10.2,57,101510,9999,9999,219,134,358,53,999900,999900,999900,99990,40,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
403200.0,-2.9,-10.0,58,101480,9999,9999,219,42,106,28,999900,999900,999900,99990,360,1.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
406800.0,-3.8,-9.0,67,101470,9999,9999,214,0,0,0,999900,999900,999900,99990,160,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
410400.0,-4.9,-9.3,71,101460,9999,9999,210,0,0,0,999900,999900,999900,99990,120,3.0,1,1,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
414000.0,-6.0,-9.4,77,101450,9999,9999,204,0,0,0,999900,999900,999900,99990,110,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
417600.0,-6.9,-10.1,78,101450,9999,9999,200,0,0,0,999900,999900,999900,99990,90,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
421200.0,-6.8,-9.8,79,101400,9999,9999,200,0,0,0,999900,999900,999900,99990,120,3.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
424800.0,-6.5,-9.8,77,101300,9999,9999,202,0,0,0,999900,999900,999900,99990,130,4.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
428400.0,-7.1,-10.3,78,101240,9999,9999,199,0,0,0,999900,999900,999900,99990,150,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
432000.0,-7.2,-10.0,80,101160,9999,9999,199,0,0,0,999900,999900,999900,99990,120,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
435600.0,-6.8,-9.8,79,101070,9999,9999,200,0,0,0,999900,999900,999900,99990,150,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
439200.0,-7.3,-10.0,81,101000,9999,9999,198,0,0,0,999900,999900,999900,99990,140,2.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
442800.0,-7.0,-10.0,79,100970,9999,9999,200,0,0,0,999900,999900,999900,99990,150,3.0,0,0,999.0,999,9,999999999,0,0.0000,999,88,999.000,999.0,99.0
